Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=37mm_Tec" I=17 J=25 F=POINT
 -20.0000	  29.0000	   5.0000	  -0.4348	   0.6304	   0.1087	 178.2500	  65.8900	
 -17.5000	  29.0000	   5.0000	  -0.3804	   0.6304	   0.1087	 194.5925	  86.3725	
 -15.0000	  29.0000	   5.0000	  -0.3261	   0.6304	   0.1087	 210.9350	 106.8550	
 -12.5000	  29.0000	   5.0000	  -0.2717	   0.6304	   0.1087	 227.2775	 127.3375	
 -10.0000	  29.0000	   5.0000	  -0.2174	   0.6304	   0.1087	 243.6200	 147.8200	
  -7.5000	  29.0000	   5.0000	  -0.1630	   0.6304	   0.1087	 245.8850	 170.0825	
  -5.0000	  29.0000	   5.0000	  -0.1087	   0.6304	   0.1087	 248.1500	 192.3450	
  -2.5000	  29.0000	   5.0000	  -0.0543	   0.6304	   0.1087	 250.4150	 214.6075	
   0.0000	  29.0000	   5.0000	   0.0000	   0.6304	   0.1087	 252.6800	 236.8700	
   2.5000	  29.0000	   5.0000	   0.0543	   0.6304	   0.1087	 214.7875	 203.4975	
   5.0000	  29.0000	   5.0000	   0.1087	   0.6304	   0.1087	 176.8950	 170.1250	
   7.5000	  29.0000	   5.0000	   0.1630	   0.6304	   0.1087	 139.0025	 136.7525	
  10.0000	  29.0000	   5.0000	   0.2174	   0.6304	   0.1087	 101.1100	 103.3800	
  12.5000	  29.0000	   5.0000	   0.2717	   0.6304	   0.1087	  88.2025	  92.6650	
  15.0000	  29.0000	   5.0000	   0.3261	   0.6304	   0.1087	  75.2950	  81.9500	
  17.5000	  29.0000	   5.0000	   0.3804	   0.6304	   0.1087	  62.3875	  71.2350	
  20.0000	  29.0000	   5.0000	   0.4348	   0.6304	   0.1087	  49.4800	  60.5200	
 -20.0000	  29.0000	   7.5000	  -0.4348	   0.6304	   0.1630	 169.7550	  64.1250	
 -17.5000	  29.0000	   7.5000	  -0.3804	   0.6304	   0.1630	 180.8338	  79.7431	
 -15.0000	  29.0000	   7.5000	  -0.3261	   0.6304	   0.1630	 191.9125	  95.3612	
 -12.5000	  29.0000	   7.5000	  -0.2717	   0.6304	   0.1630	 202.9913	 110.9794	
 -10.0000	  29.0000	   7.5000	  -0.2174	   0.6304	   0.1630	 211.7927	 126.7711	
  -7.5000	  29.0000	   7.5000	  -0.1630	   0.6304	   0.1630	 211.8644	 143.2281	
  -5.0000	  29.0000	   7.5000	  -0.1087	   0.6304	   0.1630	 209.6588	 159.8588	
  -2.5000	  29.0000	   7.5000	  -0.0543	   0.6304	   0.1630	 207.4531	 176.4894	
   0.0000	  29.0000	   7.5000	   0.0000	   0.6304	   0.1630	 200.4505	 185.6684	
   2.5000	  29.0000	   7.5000	   0.0543	   0.6304	   0.1630	 175.0594	 166.2831	
   5.0000	  29.0000	   7.5000	   0.1087	   0.6304	   0.1630	 144.8713	 139.4463	
   7.5000	  29.0000	   7.5000	   0.1630	   0.6304	   0.1630	 114.6831	 112.6094	
  10.0000	  29.0000	   7.5000	   0.2174	   0.6304	   0.1630	  87.9462	  88.9949	
  12.5000	  29.0000	   7.5000	   0.2717	   0.6304	   0.1630	  74.4388	  77.7331	
  15.0000	  29.0000	   7.5000	   0.3261	   0.6304	   0.1630	  64.3825	  69.6938	
  17.5000	  29.0000	   7.5000	   0.3804	   0.6304	   0.1630	  54.3263	  61.6544	
  20.0000	  29.0000	   7.5000	   0.4348	   0.6304	   0.1630	  44.2700	  53.6150	
 -20.0000	  29.0000	  10.0000	  -0.4348	   0.6304	   0.2174	 161.2600	  62.3600	
 -17.5000	  29.0000	  10.0000	  -0.3804	   0.6304	   0.2174	 167.0750	  73.1137	
 -15.0000	  29.0000	  10.0000	  -0.3261	   0.6304	   0.2174	 172.8900	  83.8675	
 -12.5000	  29.0000	  10.0000	  -0.2717	   0.6304	   0.2174	 178.7050	  94.6212	
 -10.0000	  29.0000	  10.0000	  -0.2174	   0.6304	   0.2174	 181.7442	 105.4294	
  -7.5000	  29.0000	  10.0000	  -0.1630	   0.6304	   0.2174	 177.8438	 116.3737	
  -5.0000	  29.0000	  10.0000	  -0.1087	   0.6304	   0.2174	 171.1675	 127.3725	
  -2.5000	  29.0000	  10.0000	  -0.0543	   0.6304	   0.2174	 164.4912	 138.3712	
