Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=136mm_Tec" I=17 J=25 F=POINT
 -12.5000	 148.0000	  12.5000	  -0.2717	   3.2174	   0.2717	  91.1383	  81.4414	
 -10.0000	 148.0000	  12.5000	  -0.2174	   3.2174	   0.2717	  86.9541	  85.5422	
  -7.5000	 148.0000	  12.5000	  -0.1630	   3.2174	   0.2717	  75.0919	  80.2856	
  -5.0000	 148.0000	  12.5000	  -0.1087	   3.2174	   0.2717	  60.9462	  72.2462	
  -2.5000	 148.0000	  12.5000	  -0.0543	   3.2174	   0.2717	  46.8006	  64.2069	
   0.0000	 148.0000	  12.5000	   0.0000	   3.2174	   0.2717	  34.2134	  56.0352	
   2.5000	 148.0000	  12.5000	   0.0543	   3.2174	   0.2717	  27.6000	  47.3563	
   5.0000	 148.0000	  12.5000	   0.1087	   3.2174	   0.2717	  22.5450	  38.5450	
   7.5000	 148.0000	  12.5000	   0.1630	   3.2174	   0.2717	  17.4900	  29.7338	
  10.0000	 148.0000	  12.5000	   0.2174	   3.2174	   0.2717	  13.1278	  22.0355	
  12.5000	 148.0000	  12.5000	   0.2717	   3.2174	   0.2717	  11.4213	  18.6038	
  15.0000	 148.0000	  12.5000	   0.3261	   3.2174	   0.2717	  10.4075	  16.2850	
  17.5000	 148.0000	  12.5000	   0.3804	   3.2174	   0.2717	   9.3938	  13.9662	
  20.0000	 148.0000	  12.5000	   0.4348	   3.2174	   0.2717	   8.3800	  11.6475	
 -20.0000	 148.0000	  15.0000	  -0.4348	   3.2174	   0.3261	  82.9834	  59.3007	
 -17.5000	 148.0000	  15.0000	  -0.3804	   3.2174	   0.3261	  79.4150	  60.7311	
 -15.0000	 148.0000	  15.0000	  -0.3261	   3.2174	   0.3261	  75.5466	  62.7593	
 -12.5000	 148.0000	  15.0000	  -0.2717	   3.2174	   0.3261	  70.3915	  64.3183	
 -10.0000	 148.0000	  15.0000	  -0.2174	   3.2174	   0.3261	  62.5900	  63.4400	
  -7.5000	 148.0000	  15.0000	  -0.1630	   3.2174	   0.3261	  55.8958	  59.3035	
  -5.0000	 148.0000	  15.0000	  -0.1087	   3.2174	   0.3261	  46.2311	  52.7886	
  -2.5000	 148.0000	  15.0000	  -0.0543	   3.2174	   0.3261	  35.0391	  44.2857	
   0.0000	 148.0000	  15.0000	   0.0000	   3.2174	   0.3261	  23.1900	  33.4400	
   2.5000	 148.0000	  15.0000	   0.0543	   3.2174	   0.3261	  21.3018	  32.1269	
   5.0000	 148.0000	  15.0000	   0.1087	   3.2174	   0.3261	  18.2233	  27.9961	
   7.5000	 148.0000	  15.0000	   0.1630	   3.2174	   0.3261	  14.6839	  22.8271	
  10.0000	 148.0000	  15.0000	   0.2174	   3.2174	   0.3261	  11.2400	  18.0100	
  12.5000	 148.0000	  15.0000	   0.2717	   3.2174	   0.3261	  10.5250	  16.3054	
  15.0000	 148.0000	  15.0000	   0.3261	   3.2174	   0.3261	   9.7061	  14.4689	
  17.5000	 148.0000	  15.0000	   0.3804	   3.2174	   0.3261	   8.8250	  12.5620	
  20.0000	 148.0000	  15.0000	   0.4348	   3.2174	   0.3261	   7.9000	  10.6200	
 -20.0000	 148.0000	  17.5000	  -0.4348	   3.2174	   0.3804	  77.8032	  55.7528	
 -17.5000	 148.0000	  17.5000	  -0.3804	   3.2174	   0.3804	  73.7211	  56.6314	
 -15.0000	 148.0000	  17.5000	  -0.3261	   3.2174	   0.3804	  68.3891	  57.1634	
 -12.5000	 148.0000	  17.5000	  -0.2717	   3.2174	   0.3804	  63.0570	  57.6955	
 -10.0000	 148.0000	  17.5000	  -0.2174	   3.2174	   0.3804	  57.0544	  56.8206	
  -7.5000	 148.0000	  17.5000	  -0.1630	   3.2174	   0.3804	  48.7969	  51.2150	
  -5.0000	 148.0000	  17.5000	  -0.1087	   3.2174	   0.3804	  39.8687	  44.2025	
  -2.5000	 148.0000	  17.5000	  -0.0543	   3.2174	   0.3804	  30.9406	  37.1900	
   0.0000	 148.0000	  17.5000	   0.0000	   3.2174	   0.3804	  23.0639	  30.7751	
   2.5000	 148.0000	  17.5000	   0.0543	   3.2174	   0.3804	  19.2175	  26.6512	
   5.0000	 148.0000	  17.5000	   0.1087	   3.2174	   0.3804	  16.4225	  23.1250	
   7.5000	 148.0000	  17.5000	   0.1630	   3.2174	   0.3804	  13.6275	  19.5988	
  10.0000	 148.0000	  17.5000	   0.2174	   3.2174	   0.3804	  11.1841	  16.4169	
  12.5000	 148.0000	  17.5000	   0.2717	   3.2174	   0.3804	  10.0888	  14.5550	
  15.0000	 148.0000	  17.5000	   0.3261	   3.2174	   0.3804	   9.3450	  13.0375	
  17.5000	 148.0000	  17.5000	   0.3804	   3.2174	   0.3804	   8.6013	  11.5200	
  20.0000	 148.0000	  17.5000	   0.4348	   3.2174	   0.3804	   7.8575	  10.0025	
 -20.0000	 148.0000	  20.0000	  -0.4348	   3.2174	   0.4348	  72.6229	  52.2050	
 -17.5000	 148.0000	  20.0000	  -0.3804	   3.2174	   0.4348	  68.4178	  52.6447	
 -15.0000	 148.0000	  20.0000	  -0.3261	   3.2174	   0.4348	  63.2319	  52.7681	
 -12.5000	 148.0000	  20.0000	  -0.2717	   3.2174	   0.4348	  58.0459	  52.8916	
 -10.0000	 148.0000	  20.0000	  -0.2174	   3.2174	   0.4348	  52.1824	  51.4178	
  -7.5000	 148.0000	  20.0000	  -0.1630	   3.2174	   0.4348	  44.8538	  46.4900	
  -5.0000	 148.0000	  20.0000	  -0.1087	   3.2174	   0.4348	  36.8475	  39.9650	
  -2.5000	 148.0000	  20.0000	  -0.0543	   3.2174	   0.4348	  28.8413	  33.4400	
   0.0000	 148.0000	  20.0000	   0.0000	   3.2174	   0.4348	  22.0358	  27.6550	
   2.5000	 148.0000	  20.0000	   0.0543	   3.2174	   0.4348	  18.2325	  23.7200	
   5.0000	 148.0000	  20.0000	   0.1087	   3.2174	   0.4348	  15.6300	  20.5250	
   7.5000	 148.0000	  20.0000	   0.1630	   3.2174	   0.4348	  13.0275	  17.3300	
  10.0000	 148.0000	  20.0000	   0.2174	   3.2174	   0.4348	  10.8583	  14.5811	
  12.5000	 148.0000	  20.0000	   0.2717	   3.2174	   0.4348	   9.7725	  12.9475	
  15.0000	 148.0000	  20.0000	   0.3261	   3.2174	   0.4348	   9.1200	  11.7600	
  17.5000	 148.0000	  20.0000	   0.3804	   3.2174	   0.4348	   8.4675	  10.5725	
  20.0000	 148.0000	  20.0000	   0.4348	   3.2174	   0.4348	   7.8150	   9.3850	
 -20.0000	 148.0000	  22.5000	  -0.4348	   3.2174	   0.4891	  67.4427	  48.6572	
 -17.5000	 148.0000	  22.5000	  -0.3804	   3.2174	   0.4891	  63.1145	  48.6580	
 -15.0000	 148.0000	  22.5000	  -0.3261	   3.2174	   0.4891	  58.0747	  48.3728	
 -12.5000	 148.0000	  22.5000	  -0.2717	   3.2174	   0.4891	  53.0348	  48.0877	
 -10.0000	 148.0000	  22.5000	  -0.2174	   3.2174	   0.4891	  47.6137	  46.7298	
