Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "Trees_West_y=-36mm_Tec" I=17 J=25 F=POINT
 -17.5000	 -31.0000	  12.5000	  -0.3804	  -0.6739	   0.2717	 138.6375	  61.3388	
 -15.0000	 -31.0000	  12.5000	  -0.3261	  -0.6739	   0.2717	 135.1475	  67.0150	
 -12.5000	 -31.0000	  12.5000	  -0.2717	  -0.6739	   0.2717	 131.6575	  72.6913	
 -10.0000	 -31.0000	  12.5000	  -0.2174	  -0.6739	   0.2717	 127.9576	  78.6152	
  -7.5000	 -31.0000	  12.5000	  -0.1630	  -0.6739	   0.2717	 123.4531	  85.4888	
  -5.0000	 -31.0000	  12.5000	  -0.1087	  -0.6739	   0.2717	 118.7387	  92.6100	
  -2.5000	 -31.0000	  12.5000	  -0.0543	  -0.6739	   0.2717	 114.0244	  99.7313	
   0.0000	 -31.0000	  12.5000	   0.0000	  -0.6739	   0.2717	 107.1264	 103.2080	
   2.5000	 -31.0000	  12.5000	   0.0543	  -0.6739	   0.2717	  91.8581	  92.7144	
   5.0000	 -31.0000	  12.5000	   0.1087	  -0.6739	   0.2717	  74.4062	  78.5763	
   7.5000	 -31.0000	  12.5000	   0.1630	  -0.6739	   0.2717	  56.9544	  64.4381	
  10.0000	 -31.0000	  12.5000	   0.2174	  -0.6739	   0.2717	  41.6787	  51.8334	
  12.5000	 -31.0000	  12.5000	   0.2717	  -0.6739	   0.2717	  34.7450	  45.1069	
  15.0000	 -31.0000	  12.5000	   0.3261	  -0.6739	   0.2717	  29.9875	  39.9138	
  17.5000	 -31.0000	  12.5000	   0.3804	  -0.6739	   0.2717	  25.2300	  34.7206	
  20.0000	 -31.0000	  12.5000	   0.4348	  -0.6739	   0.2717	  20.4725	  29.5275	
 -20.0000	 -31.0000	  15.0000	  -0.4348	  -0.6739	   0.3261	 142.5200	  56.2400	
 -17.5000	 -31.0000	  15.0000	  -0.3804	  -0.6739	   0.3261	 132.2327	  57.3789	
 -15.0000	 -31.0000	  15.0000	  -0.3261	  -0.6739	   0.3261	 123.2489	  59.3356	
 -12.5000	 -31.0000	  15.0000	  -0.2717	  -0.6739	   0.3261	 113.2507	  60.6680	
 -10.0000	 -31.0000	  15.0000	  -0.2174	  -0.6739	   0.3261	  99.5400	  59.7000	
