Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=148mm_Tec" I=17 J=25 F=POINT
 -12.5000	 148.0000	  12.5000	  -0.2717	   3.2174	   0.2717	  49.1317	  55.2261	
 -10.0000	 148.0000	  12.5000	  -0.2174	   3.2174	   0.2717	  60.1431	  64.8816	
  -7.5000	 148.0000	  12.5000	  -0.1630	   3.2174	   0.2717	  72.0306	  75.5513	
  -5.0000	 148.0000	  12.5000	  -0.1087	   3.2174	   0.2717	  84.1787	  86.5225	
  -2.5000	 148.0000	  12.5000	  -0.0543	   3.2174	   0.2717	  96.3269	  97.4938	
   0.0000	 148.0000	  12.5000	   0.0000	   3.2174	   0.2717	 106.7287	 105.6576	
   2.5000	 148.0000	  12.5000	   0.0543	   3.2174	   0.2717	 110.4362	 103.0600	
   5.0000	 148.0000	  12.5000	   0.1087	   3.2174	   0.2717	 112.3975	  97.6550	
   7.5000	 148.0000	  12.5000	   0.1630	   3.2174	   0.2717	 114.3588	  92.2500	
  10.0000	 148.0000	  12.5000	   0.2174	   3.2174	   0.2717	 115.5105	  86.8292	
  12.5000	 148.0000	  12.5000	   0.2717	   3.2174	   0.2717	 113.5594	  81.3481	
  15.0000	 148.0000	  12.5000	   0.3261	   3.2174	   0.2717	 110.7988	  75.8513	
  17.5000	 148.0000	  12.5000	   0.3804	   3.2174	   0.2717	 108.0381	  70.3544	
  20.0000	 148.0000	  12.5000	   0.4348	   3.2174	   0.2717	 105.2775	  64.8575	
 -20.0000	 148.0000	  15.0000	  -0.4348	   3.2174	   0.3261	  16.6575	  25.6986	
 -17.5000	 148.0000	  15.0000	  -0.3804	   3.2174	   0.3261	  25.4779	  32.3585	
 -15.0000	 148.0000	  15.0000	  -0.3261	   3.2174	   0.3261	  34.4776	  39.2750	
 -12.5000	 148.0000	  15.0000	  -0.2717	   3.2174	   0.3261	  43.4016	  45.9837	
 -10.0000	 148.0000	  15.0000	  -0.2174	   3.2174	   0.3261	  51.7600	  51.6300	
  -7.5000	 148.0000	  15.0000	  -0.1630	   3.2174	   0.3261	  60.5913	  59.2442	
  -5.0000	 148.0000	  15.0000	  -0.1087	   3.2174	   0.3261	  69.2883	  66.3119	
  -2.5000	 148.0000	  15.0000	  -0.0543	   3.2174	   0.3261	  76.6947	  71.5319	
   0.0000	 148.0000	  15.0000	   0.0000	   3.2174	   0.3261	  81.1700	  72.9100	
   2.5000	 148.0000	  15.0000	   0.0543	   3.2174	   0.3261	  88.0732	  76.6960	
   5.0000	 148.0000	  15.0000	   0.1087	   3.2174	   0.3261	  92.3081	  76.6247	
   7.5000	 148.0000	  15.0000	   0.1630	   3.2174	   0.3261	  94.7267	  74.7365	
  10.0000	 148.0000	  15.0000	   0.2174	   3.2174	   0.3261	  95.5000	  72.3900	
  12.5000	 148.0000	  15.0000	   0.2717	   3.2174	   0.3261	  98.2411	  71.1213	
  15.0000	 148.0000	  15.0000	   0.3261	   3.2174	   0.3261	  98.8122	  68.5808	
  17.5000	 148.0000	  15.0000	   0.3804	   3.2174	   0.3261	  98.6166	  65.8503	
  20.0000	 148.0000	  15.0000	   0.4348	   3.2174	   0.3261	  98.7700	  63.9400	
 -20.0000	 148.0000	  17.5000	  -0.4348	   3.2174	   0.3804	  15.4490	  23.3370	
 -17.5000	 148.0000	  17.5000	  -0.3804	   3.2174	   0.3804	  23.6975	  29.4661	
 -15.0000	 148.0000	  17.5000	  -0.3261	   3.2174	   0.3804	  31.8600	  35.3966	
 -12.5000	 148.0000	  17.5000	  -0.2717	   3.2174	   0.3804	  40.0225	  41.3270	
 -10.0000	 148.0000	  17.5000	  -0.2174	   3.2174	   0.3804	  47.9003	  46.9860	
  -7.5000	 148.0000	  17.5000	  -0.1630	   3.2174	   0.3804	  54.8206	  51.7319	
  -5.0000	 148.0000	  17.5000	  -0.1087	   3.2174	   0.3804	  61.4562	  56.2062	
  -2.5000	 148.0000	  17.5000	  -0.0543	   3.2174	   0.3804	  68.0919	  60.6806	
   0.0000	 148.0000	  17.5000	   0.0000	   3.2174	   0.3804	  74.2263	  64.4202	
   2.5000	 148.0000	  17.5000	   0.0543	   3.2174	   0.3804	  78.4394	  65.3431	
   5.0000	 148.0000	  17.5000	   0.1087	   3.2174	   0.3804	  82.1512	  65.5312	
   7.5000	 148.0000	  17.5000	   0.1630	   3.2174	   0.3804	  85.8631	  65.7194	
  10.0000	 148.0000	  17.5000	   0.2174	   3.2174	   0.3804	  89.0624	  65.5703	
  12.5000	 148.0000	  17.5000	   0.2717	   3.2174	   0.3804	  90.2969	  64.1287	
  15.0000	 148.0000	  17.5000	   0.3261	   3.2174	   0.3804	  91.0187	  62.3500	
  17.5000	 148.0000	  17.5000	   0.3804	   3.2174	   0.3804	  91.7406	  60.5713	
  20.0000	 148.0000	  17.5000	   0.4348	   3.2174	   0.3804	  92.4625	  58.7925	
 -20.0000	 148.0000	  20.0000	  -0.4348	   3.2174	   0.4348	  14.2405	  20.9754	
 -17.5000	 148.0000	  20.0000	  -0.3804	   3.2174	   0.4348	  21.9319	  26.6241	
 -15.0000	 148.0000	  20.0000	  -0.3261	   3.2174	   0.4348	  29.4912	  32.0444	
 -12.5000	 148.0000	  20.0000	  -0.2717	   3.2174	   0.4348	  37.0506	  37.4647	
 -10.0000	 148.0000	  20.0000	  -0.2174	   3.2174	   0.4348	  44.2159	  42.4546	
  -7.5000	 148.0000	  20.0000	  -0.1630	   3.2174	   0.4348	  50.5288	  46.5138	
  -5.0000	 148.0000	  20.0000	  -0.1087	   3.2174	   0.4348	  56.4475	  50.1425	
  -2.5000	 148.0000	  20.0000	  -0.0543	   3.2174	   0.4348	  62.3662	  53.7712	
   0.0000	 148.0000	  20.0000	   0.0000	   3.2174	   0.4348	  67.8233	  56.7061	
   2.5000	 148.0000	  20.0000	   0.0543	   3.2174	   0.4348	  72.1262	  57.9062	
   5.0000	 148.0000	  20.0000	   0.1087	   3.2174	   0.4348	  75.9675	  58.4125	
   7.5000	 148.0000	  20.0000	   0.1630	   3.2174	   0.4348	  79.8087	  58.9187	
  10.0000	 148.0000	  20.0000	   0.2174	   3.2174	   0.4348	  82.9356	  58.9914	
  12.5000	 148.0000	  20.0000	   0.2717	   3.2174	   0.4348	  84.2762	  57.9800	
  15.0000	 148.0000	  20.0000	   0.3261	   3.2174	   0.4348	  84.9025	  56.5350	
  17.5000	 148.0000	  20.0000	   0.3804	   3.2174	   0.4348	  85.5288	  55.0900	
  20.0000	 148.0000	  20.0000	   0.4348	   3.2174	   0.4348	  86.1550	  53.6450	
 -20.0000	 148.0000	  22.5000	  -0.4348	   3.2174	   0.4891	  13.0321	  18.6138	
 -17.5000	 148.0000	  22.5000	  -0.3804	   3.2174	   0.4891	  20.1662	  23.7820	
 -15.0000	 148.0000	  22.5000	  -0.3261	   3.2174	   0.4891	  27.1225	  28.6922	
 -12.5000	 148.0000	  22.5000	  -0.2717	   3.2174	   0.4891	  34.0788	  33.6023	
 -10.0000	 148.0000	  22.5000	  -0.2174	   3.2174	   0.4891	  40.7078	  38.1159	
  -7.5000	 148.0000	  22.5000	  -0.1630	   3.2174	   0.4891	  46.2369	  41.2956	
  -5.0000	 148.0000	  22.5000	  -0.1087	   3.2174	   0.4891	  51.4387	  44.0787	
  -2.5000	 148.0000	  22.5000	  -0.0543	   3.2174	   0.4891	  56.6406	  46.8619	
