Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=-85mm_Tec" I=17 J=25 F=POINT
 -20.0000	 -85.0000	   5.0000	  -0.4348	  -1.8478	   0.1087	   9.2800	   7.3800	
 -17.5000	 -85.0000	   5.0000	  -0.3804	  -1.8478	   0.1087	  10.0975	   9.4350	
 -15.0000	 -85.0000	   5.0000	  -0.3261	  -1.8478	   0.1087	  10.9150	  11.4900	
 -12.5000	 -85.0000	   5.0000	  -0.2717	  -1.8478	   0.1087	  11.7325	  13.5450	
 -10.0000	 -85.0000	   5.0000	  -0.2174	  -1.8478	   0.1087	  12.5500	  15.6000	
  -7.5000	 -85.0000	   5.0000	  -0.1630	  -1.8478	   0.1087	  15.2075	  23.8525	
  -5.0000	 -85.0000	   5.0000	  -0.1087	  -1.8478	   0.1087	  17.8650	  32.1050	
  -2.5000	 -85.0000	   5.0000	  -0.0543	  -1.8478	   0.1087	  20.5225	  40.3575	
   0.0000	 -85.0000	   5.0000	   0.0000	  -1.8478	   0.1087	  23.1800	  48.6100	
   2.5000	 -85.0000	   5.0000	   0.0543	  -1.8478	   0.1087	  32.0775	  54.2625	
   5.0000	 -85.0000	   5.0000	   0.1087	  -1.8478	   0.1087	  40.9750	  59.9150	
   7.5000	 -85.0000	   5.0000	   0.1630	  -1.8478	   0.1087	  49.8725	  65.5675	
  10.0000	 -85.0000	   5.0000	   0.2174	  -1.8478	   0.1087	  58.7700	  71.2200	
  12.5000	 -85.0000	   5.0000	   0.2717	  -1.8478	   0.1087	  61.6125	  64.6375	
  15.0000	 -85.0000	   5.0000	   0.3261	  -1.8478	   0.1087	  64.4550	  58.0550	
  17.5000	 -85.0000	   5.0000	   0.3804	  -1.8478	   0.1087	  67.2975	  51.4725	
  20.0000	 -85.0000	   5.0000	   0.4348	  -1.8478	   0.1087	  70.1400	  44.8900	
 -20.0000	 -85.0000	   7.5000	  -0.4348	  -1.8478	   0.1630	   8.9475	   6.9825	
 -17.5000	 -85.0000	   7.5000	  -0.3804	  -1.8478	   0.1630	   9.7169	   8.7700	
 -15.0000	 -85.0000	   7.5000	  -0.3261	  -1.8478	   0.1630	  10.4863	  10.5575	
 -12.5000	 -85.0000	   7.5000	  -0.2717	  -1.8478	   0.1630	  11.2556	  12.3450	
 -10.0000	 -85.0000	   7.5000	  -0.2174	  -1.8478	   0.1630	  12.2542	  14.9308	
  -7.5000	 -85.0000	   7.5000	  -0.1630	  -1.8478	   0.1630	  14.1312	  20.5769	
  -5.0000	 -85.0000	   7.5000	  -0.1087	  -1.8478	   0.1630	  16.2375	  27.0213	
  -2.5000	 -85.0000	   7.5000	  -0.0543	  -1.8478	   0.1630	  18.3438	  33.4656	
   0.0000	 -85.0000	   7.5000	   0.0000	  -1.8478	   0.1630	  21.3197	  39.6479	
   2.5000	 -85.0000	   7.5000	   0.0543	  -1.8478	   0.1630	  27.6294	  44.8256	
   5.0000	 -85.0000	   7.5000	   0.1087	  -1.8478	   0.1630	  34.8088	  49.7413	
   7.5000	 -85.0000	   7.5000	   0.1630	  -1.8478	   0.1630	  41.9881	  54.6569	
  10.0000	 -85.0000	   7.5000	   0.2174	  -1.8478	   0.1630	  48.4613	  57.9673	
  12.5000	 -85.0000	   7.5000	   0.2717	  -1.8478	   0.1630	  52.2275	  55.1244	
  15.0000	 -85.0000	   7.5000	   0.3261	  -1.8478	   0.1630	  55.2875	  50.6763	
  17.5000	 -85.0000	   7.5000	   0.3804	  -1.8478	   0.1630	  58.3475	  46.2281	
  20.0000	 -85.0000	   7.5000	   0.4348	  -1.8478	   0.1630	  61.4075	  41.7800	
 -20.0000	 -85.0000	  10.0000	  -0.4348	  -1.8478	   0.2174	   8.6150	   6.5850	
 -17.5000	 -85.0000	  10.0000	  -0.3804	  -1.8478	   0.2174	   9.3363	   8.1050	
 -15.0000	 -85.0000	  10.0000	  -0.3261	  -1.8478	   0.2174	  10.0575	   9.6250	
 -12.5000	 -85.0000	  10.0000	  -0.2717	  -1.8478	   0.2174	  10.7788	  11.1450	
 -10.0000	 -85.0000	  10.0000	  -0.2174	  -1.8478	   0.2174	  11.6853	  13.3575	
  -7.5000	 -85.0000	  10.0000	  -0.1630	  -1.8478	   0.2174	  13.0550	  17.3012	
  -5.0000	 -85.0000	  10.0000	  -0.1087	  -1.8478	   0.2174	  14.6100	  21.9375	
