Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=-115mm_Tec" I=17 J=25 F=POINT
 -20.0000	-115.0000	   5.0000	  -0.4348	  -2.5000	   0.1087	  84.7400	  61.6800	
 -17.5000	-115.0000	   5.0000	  -0.3804	  -2.5000	   0.1087	  78.3300	  65.9075	
 -15.0000	-115.0000	   5.0000	  -0.3261	  -2.5000	   0.1087	  71.9200	  70.1350	
 -12.5000	-115.0000	   5.0000	  -0.2717	  -2.5000	   0.1087	  65.5100	  74.3625	
 -10.0000	-115.0000	   5.0000	  -0.2174	  -2.5000	   0.1087	  59.1000	  78.5900	
  -7.5000	-115.0000	   5.0000	  -0.1630	  -2.5000	   0.1087	  47.5675	  68.1475	
  -5.0000	-115.0000	   5.0000	  -0.1087	  -2.5000	   0.1087	  36.0350	  57.7050	
  -2.5000	-115.0000	   5.0000	  -0.0543	  -2.5000	   0.1087	  24.5025	  47.2625	
   0.0000	-115.0000	   5.0000	   0.0000	  -2.5000	   0.1087	  12.9700	  36.8200	
   2.5000	-115.0000	   5.0000	   0.0543	  -2.5000	   0.1087	  10.9400	  30.1575	
   5.0000	-115.0000	   5.0000	   0.1087	  -2.5000	   0.1087	   8.9100	  23.4950	
   7.5000	-115.0000	   5.0000	   0.1630	  -2.5000	   0.1087	   6.8800	  16.8325	
  10.0000	-115.0000	   5.0000	   0.2174	  -2.5000	   0.1087	   4.8500	  10.1700	
  12.5000	-115.0000	   5.0000	   0.2717	  -2.5000	   0.1087	   4.3850	   8.9500	
  15.0000	-115.0000	   5.0000	   0.3261	  -2.5000	   0.1087	   3.9200	   7.7300	
  17.5000	-115.0000	   5.0000	   0.3804	  -2.5000	   0.1087	   3.4550	   6.5100	
  20.0000	-115.0000	   5.0000	   0.4348	  -2.5000	   0.1087	   2.9900	   5.2900	
