Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"V [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"V/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_V/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'v'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "z=8mm_ImgMean_16x32x64_MovingAvgf3x3" I=17 J=65 F=POINT
 -10.0000	-158.5000	   8.0000	  -0.2174	  -3.4457	   0.1739	   0.3011	  -0.5245	   0.6048	   0.0502	  -0.0874	   0.0443	   0.0717	   0.0053	   0.0006	  -0.1849	   1.2229	   0.9297	  10.0933	   6.6398	   0.1008	
  -7.5000	-158.5000	   8.0000	  -0.1630	  -3.4457	   0.1739	   0.3417	  -0.5241	   0.6256	   0.0569	  -0.0874	   0.0449	   0.0699	   0.0052	   0.0005	  -0.1471	   1.3171	   0.9814	  11.6522	   6.6563	   0.1043	
  -5.0000	-158.5000	   8.0000	  -0.1087	  -3.4457	   0.1739	   0.3749	  -0.5445	   0.6611	   0.0625	  -0.0908	   0.0458	   0.0694	   0.0052	   0.0005	  -0.1544	   1.1124	   1.0193	  10.1998	   6.3544	   0.1102	
  -2.5000	-158.5000	   8.0000	  -0.0543	  -3.4457	   0.1739	   0.3989	  -0.5649	   0.6915	   0.0665	  -0.0941	   0.0469	   0.0701	   0.0053	   0.0005	  -0.1579	   0.7973	   1.0409	   7.6615	   6.0780	   0.1153	
   0.0000	-158.5000	   8.0000	   0.0000	  -3.4457	   0.1739	   0.4163	  -0.5852	   0.7182	   0.0694	  -0.0975	   0.0476	   0.0702	   0.0054	   0.0005	  -0.1485	   0.5854	   1.0326	   6.3265	   6.0018	   0.1197	
   2.5000	-158.5000	   8.0000	   0.0543	  -3.4457	   0.1739	   0.4219	  -0.5966	   0.7307	   0.0703	  -0.0994	   0.0487	   0.0690	   0.0054	   0.0003	  -0.0977	   0.6931	   1.0820	   7.9011	   6.1426	   0.1218	
   5.0000	-158.5000	   8.0000	   0.1087	  -3.4457	   0.1739	   0.4140	  -0.5962	   0.7258	   0.0690	  -0.0994	   0.0499	   0.0667	   0.0052	   0.0001	  -0.0325	   0.8489	   1.2074	  11.3003	   7.0468	   0.1210	
   7.5000	-158.5000	   8.0000	   0.1630	  -3.4457	   0.1739	   0.3820	  -0.5847	   0.6984	   0.0637	  -0.0974	   0.0510	   0.0633	   0.0050	  -0.0000	   0.0011	   0.6737	   1.3203	  10.2686	   7.8858	   0.1164	
  10.0000	-158.5000	   8.0000	   0.2174	  -3.4457	   0.1739	   0.3221	  -0.5732	   0.6576	   0.0537	  -0.0955	   0.0509	   0.0613	   0.0048	   0.0001	  -0.0333	   0.6101	   1.5255	   8.8544	   8.7656	   0.1096	
  12.5000	-158.5000	   8.0000	   0.2717	  -3.4457	   0.1739	   0.2613	  -0.6065	   0.6604	   0.0436	  -0.1011	   0.0502	   0.0628	   0.0049	   0.0003	  -0.1097	   0.5870	   1.7741	   6.8758	  11.0147	   0.1101	
  15.0000	-158.5000	   8.0000	   0.3261	  -3.4457	   0.1739	   0.2083	  -0.6654	   0.6973	   0.0347	  -0.1109	   0.0468	   0.0657	   0.0049	   0.0004	  -0.1398	   0.6657	   1.9359	   6.3273	  13.1099	   0.1162	
  17.5000	-158.5000	   8.0000	   0.3804	  -3.4457	   0.1739	   0.1531	  -0.7020	   0.7186	   0.0255	  -0.1170	   0.0405	   0.0686	   0.0048	   0.0003	  -0.0997	   0.6935	   2.1068	   4.8643	  15.1103	   0.1198	
  20.0000	-158.5000	   8.0000	   0.4348	  -3.4457	   0.1739	   0.1052	  -0.7070	   0.7148	   0.0175	  -0.1178	   0.0348	   0.0721	   0.0048	   0.0001	  -0.0555	   0.7777	   2.0980	   4.5262	  14.9012	   0.1191	
 -20.0000	-156.0000	   8.0000	  -0.4348	  -3.3913	   0.1739	   0.1493	  -0.6080	   0.6261	   0.0249	  -0.1013	   0.0407	   0.0893	   0.0072	   0.0017	  -0.4683	   0.9761	   0.6667	   6.2276	   5.9028	   0.1043	
 -17.5000	-156.0000	   8.0000	  -0.3804	  -3.3913	   0.1739	   0.1884	  -0.6147	   0.6429	   0.0314	  -0.1025	   0.0411	   0.0872	   0.0070	   0.0016	  -0.4517	   0.9268	   0.7043	   5.7602	   6.2312	   0.1071	
 -15.0000	-156.0000	   8.0000	  -0.3261	  -3.3913	   0.1739	   0.2397	  -0.5994	   0.6456	   0.0400	  -0.0999	   0.0422	   0.0823	   0.0064	   0.0013	  -0.3838	   0.9055	   0.7482	   5.8407	   6.2854	   0.1076	
 -12.5000	-156.0000	   8.0000	  -0.2717	  -3.3913	   0.1739	   0.2796	  -0.5604	   0.6263	   0.0466	  -0.0934	   0.0433	   0.0771	   0.0059	   0.0010	  -0.2862	   1.0074	   0.7988	   7.3348	   5.9933	   0.1044	
 -10.0000	-156.0000	   8.0000	  -0.2174	  -3.3913	   0.1739	   0.3082	  -0.5238	   0.6078	   0.0514	  -0.0873	   0.0441	   0.0732	   0.0055	   0.0006	  -0.1990	   1.2155	   0.9776	   9.9021	   6.6438	   0.1013	
  -7.5000	-156.0000	   8.0000	  -0.1630	  -3.3913	   0.1739	   0.3492	  -0.5240	   0.6296	   0.0582	  -0.0873	   0.0454	   0.0717	   0.0054	   0.0006	  -0.1779	   1.2854	   1.0324	  11.4209	   6.9073	   0.1049	
  -5.0000	-156.0000	   8.0000	  -0.1087	  -3.3913	   0.1739	   0.3803	  -0.5366	   0.6577	   0.0634	  -0.0894	   0.0461	   0.0712	   0.0054	   0.0006	  -0.1765	   1.1867	   1.0700	  11.1119	   6.8812	   0.1096	
  -2.5000	-156.0000	   8.0000	  -0.0543	  -3.3913	   0.1739	   0.4097	  -0.5610	   0.6947	   0.0683	  -0.0935	   0.0474	   0.0718	   0.0055	   0.0006	  -0.1780	   0.9193	   1.0385	   8.7196	   6.3153	   0.1158	
   0.0000	-156.0000	   8.0000	   0.0000	  -3.3913	   0.1739	   0.4244	  -0.5756	   0.7152	   0.0707	  -0.0959	   0.0474	   0.0712	   0.0055	   0.0005	  -0.1584	   0.6815	   1.0607	   6.5784	   6.2614	   0.1192	
   2.5000	-156.0000	   8.0000	   0.0543	  -3.3913	   0.1739	   0.4275	  -0.5832	   0.7231	   0.0712	  -0.0972	   0.0475	   0.0703	   0.0054	   0.0003	  -0.1010	   0.5805	   1.1376	   6.0370	   6.4850	   0.1205	
   5.0000	-156.0000	   8.0000	   0.1087	  -3.3913	   0.1739	   0.4314	  -0.5974	   0.7369	   0.0719	  -0.0996	   0.0496	   0.0686	   0.0054	   0.0001	  -0.0393	   0.6514	   1.1702	   8.5842	   6.8966	   0.1228	
   7.5000	-156.0000	   8.0000	   0.1630	  -3.3913	   0.1739	   0.3994	  -0.5847	   0.7081	   0.0666	  -0.0974	   0.0517	   0.0651	   0.0052	   0.0000	  -0.0058	   0.7114	   1.2568	  10.4283	   7.4346	   0.1180	
  10.0000	-156.0000	   8.0000	   0.2174	  -3.3913	   0.1739	   0.3379	  -0.5816	   0.6726	   0.0563	  -0.0969	   0.0530	   0.0638	   0.0052	   0.0002	  -0.0683	   0.6059	   1.4870	   8.1730	   8.7356	   0.1121	
  12.5000	-156.0000	   8.0000	   0.2717	  -3.3913	   0.1739	   0.2734	  -0.6154	   0.6734	   0.0456	  -0.1026	   0.0522	   0.0657	   0.0053	   0.0005	  -0.1605	   0.6729	   1.7037	   7.6488	  10.3576	   0.1122	
  15.0000	-156.0000	   8.0000	   0.3261	  -3.3913	   0.1739	   0.2153	  -0.6608	   0.6950	   0.0359	  -0.1101	   0.0470	   0.0682	   0.0051	   0.0006	  -0.1720	   0.6642	   1.8138	   6.2314	  11.1191	   0.1158	
  17.5000	-156.0000	   8.0000	   0.3804	  -3.3913	   0.1739	   0.1617	  -0.6806	   0.6996	   0.0269	  -0.1134	   0.0395	   0.0705	   0.0049	   0.0003	  -0.0926	   0.5969	   1.8943	   4.6838	  11.8625	   0.1166	
  20.0000	-156.0000	   8.0000	   0.4348	  -3.3913	   0.1739	   0.1167	  -0.6807	   0.6906	   0.0194	  -0.1134	   0.0337	   0.0739	   0.0049	   0.0000	  -0.0123	   0.7618	   1.8424	   5.0394	  11.5811	   0.1151	
 -20.0000	-153.5000	   8.0000	  -0.4348	  -3.3370	   0.1739	   0.1268	  -0.6412	   0.6535	   0.0211	  -0.1069	   0.0358	   0.0897	   0.0070	   0.0014	  -0.4299	   0.9478	   0.6763	   5.0908	   6.0443	   0.1089	
 -17.5000	-153.5000	   8.0000	  -0.3804	  -3.3370	   0.1739	   0.1672	  -0.6398	   0.6612	   0.0279	  -0.1066	   0.0372	   0.0882	   0.0069	   0.0014	  -0.4231	   0.8529	   0.7454	   4.6797	   6.5736	   0.1102	
 -15.0000	-153.5000	   8.0000	  -0.3261	  -3.3370	   0.1739	   0.2268	  -0.6118	   0.6525	   0.0378	  -0.1020	   0.0397	   0.0835	   0.0064	   0.0012	  -0.3544	   0.8899	   0.8329	   5.4092	   6.8135	   0.1088	
 -12.5000	-153.5000	   8.0000	  -0.2717	  -3.3370	   0.1739	   0.2805	  -0.5712	   0.6363	   0.0467	  -0.0952	   0.0421	   0.0786	   0.0060	   0.0009	  -0.2721	   0.9684	   0.9319	   6.9679	   7.0567	   0.1061	
 -10.0000	-153.5000	   8.0000	  -0.2174	  -3.3370	   0.1739	   0.3180	  -0.5346	   0.6221	   0.0530	  -0.0891	   0.0436	   0.0745	   0.0056	   0.0007	  -0.2101	   1.1638	   1.0618	   9.5622	   7.3410	   0.1037	
