Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-31mm_16x32x32_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	 -31.0000	   2.5000	  -1.7391	  -0.6739	   0.0543	   0.0011	  -0.0002	   0.0002	   0.0002	  -0.0000	  -0.0002	  -0.0001	  -0.0000	   0.0000	  -0.0002	   0.0021	  -0.0000	  -0.0884	  -0.0359	   0.0000	
 -77.5000	 -31.0000	   2.5000	  -1.6848	  -0.6739	   0.0543	  -0.0003	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0001	  -0.0018	   0.0004	   0.0466	   0.0232	   0.0001	
 -75.0000	 -31.0000	   2.5000	  -1.6304	  -0.6739	   0.0543	  -0.0000	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0011	   0.0004	   0.0221	   0.0124	   0.0000	
 -72.5000	 -31.0000	   2.5000	  -1.5761	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0002	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0011	   0.0004	   0.0226	   0.0128	   0.0000	
 -70.0000	 -31.0000	   2.5000	  -1.5217	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0002	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0011	   0.0004	   0.0221	   0.0128	   0.0000	
 -67.5000	 -31.0000	   2.5000	  -1.4674	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0002	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0012	   0.0004	   0.0222	   0.0130	   0.0000	
 -65.0000	 -31.0000	   2.5000	  -1.4130	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0002	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0012	   0.0005	   0.0228	   0.0136	   0.0000	
 -62.5000	 -31.0000	   2.5000	  -1.3587	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0013	   0.0006	   0.0239	   0.0145	   0.0000	
 -60.0000	 -31.0000	   2.5000	  -1.3043	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0014	   0.0006	   0.0254	   0.0157	   0.0000	
 -57.5000	 -31.0000	   2.5000	  -1.2500	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0015	   0.0007	   0.0273	   0.0172	   0.0000	
 -55.0000	 -31.0000	   2.5000	  -1.1957	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0000	  -0.0017	   0.0009	   0.0294	   0.0188	   0.0001	
 -52.5000	 -31.0000	   2.5000	  -1.1413	  -0.6739	   0.0543	  -0.0001	   0.0001	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	  -0.0000	  -0.0018	   0.0010	   0.0317	   0.0208	   0.0001	
 -50.0000	 -31.0000	   2.5000	  -1.0870	  -0.6739	   0.0543	  -0.0002	   0.0002	   0.0003	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	  -0.0000	  -0.0020	   0.0012	   0.0348	   0.0232	   0.0001	
 -47.5000	 -31.0000	   2.5000	  -1.0326	  -0.6739	   0.0543	  -0.0002	   0.0002	   0.0004	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	  -0.0000	  -0.0023	   0.0015	   0.0389	   0.0266	   0.0001	
 -45.0000	 -31.0000	   2.5000	  -0.9783	  -0.6739	   0.0543	  -0.0002	   0.0002	   0.0004	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	  -0.0001	  -0.0027	   0.0019	   0.0443	   0.0311	   0.0001	
 -42.5000	 -31.0000	   2.5000	  -0.9239	  -0.6739	   0.0543	  -0.0002	   0.0002	   0.0005	  -0.0000	   0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	  -0.0001	  -0.0032	   0.0024	   0.0512	   0.0369	   0.0001	
 -40.0000	 -31.0000	   2.5000	  -0.8696	  -0.6739	   0.0543	  -0.0003	   0.0003	   0.0005	  -0.0000	   0.0000	   0.0002	   0.0001	   0.0000	  -0.0000	  -0.0001	  -0.0038	   0.0031	   0.0597	   0.0444	   0.0001	
 -37.5000	 -31.0000	   2.5000	  -0.8152	  -0.6739	   0.0543	  -0.0003	   0.0003	   0.0006	  -0.0001	   0.0001	   0.0002	   0.0001	   0.0000	  -0.0000	  -0.0002	  -0.0047	   0.0042	   0.0721	   0.0554	   0.0001	
 -35.0000	 -31.0000	   2.5000	  -0.7609	  -0.6739	   0.0543	  -0.0004	   0.0004	   0.0007	  -0.0001	   0.0001	   0.0002	   0.0002	   0.0000	   0.0000	  -0.0003	  -0.0058	   0.0057	   0.0878	   0.0700	   0.0001	
 -32.5000	 -31.0000	   2.5000	  -0.7065	  -0.6739	   0.0543	  -0.0005	   0.0005	   0.0009	  -0.0001	   0.0001	   0.0003	   0.0002	   0.0000	   0.0000	  -0.0006	  -0.0095	   0.0103	   0.1307	   0.1080	   0.0002	
 -30.0000	 -31.0000	   2.5000	  -0.6522	  -0.6739	   0.0543	  -0.0006	   0.0007	   0.0011	  -0.0001	   0.0001	   0.0004	   0.0003	   0.0000	   0.0000	  -0.0009	  -0.0119	   0.0145	   0.1699	   0.1477	   0.0002	
 -27.5000	 -31.0000	   2.5000	  -0.5978	  -0.6739	   0.0543	  -0.0007	   0.0010	   0.0015	  -0.0001	   0.0002	   0.0006	   0.0004	   0.0000	   0.0000	  -0.0009	  -0.0042	   0.0078	   0.1390	   0.1395	   0.0002	
 -25.0000	 -31.0000	   2.5000	  -0.5435	  -0.6739	   0.0543	  -0.0018	   0.0024	   0.0033	  -0.0003	   0.0004	   0.0017	   0.0012	   0.0000	   0.0000	  -0.0166	  -0.2804	   0.3469	   2.6695	   2.3105	   0.0006	
 -22.5000	 -31.0000	   2.5000	  -0.4891	  -0.6739	   0.0543	  -0.0033	   0.0063	   0.0079	  -0.0005	   0.0010	   0.0088	   0.0069	   0.0002	   0.0000	  -0.0840	  -0.7405	   1.0278	   8.7157	   7.7844	   0.0013	
 -20.0000	 -31.0000	   2.5000	  -0.4348	  -0.6739	   0.0543	   0.0001	   0.0207	   0.0214	   0.0000	   0.0034	   0.0147	   0.0112	   0.0006	   0.0000	  -0.0591	   0.0442	   0.2524	   2.8467	   3.9031	   0.0036	
 -17.5000	 -31.0000	   2.5000	  -0.3804	  -0.6739	   0.0543	  -0.0046	   0.0450	   0.0465	  -0.0008	   0.0075	   0.0182	   0.0124	   0.0008	   0.0000	  -0.0279	  -0.0895	   0.4465	   3.1157	   3.9841	   0.0078	
 -15.0000	 -31.0000	   2.5000	  -0.3261	  -0.6739	   0.0543	  -0.0216	   0.0591	   0.0645	  -0.0036	   0.0098	   0.0213	   0.0135	   0.0010	   0.0000	  -0.0231	  -0.1368	   0.4653	   2.6253	   3.3010	   0.0107	
 -12.5000	 -31.0000	   2.5000	  -0.2717	  -0.6739	   0.0543	  -0.0629	   0.0682	   0.0938	  -0.0105	   0.0114	   0.0235	   0.0141	   0.0012	  -0.0000	   0.0131	  -0.3196	   0.3935	   3.4353	   3.3695	   0.0156	
 -10.0000	 -31.0000	   2.5000	  -0.2174	  -0.6739	   0.0543	  -0.0893	   0.0552	   0.1045	  -0.0149	   0.0092	   0.0257	   0.0126	   0.0013	  -0.0000	   0.0098	  -0.4340	   0.1263	   4.2096	   1.9901	   0.0174	
  -7.5000	 -31.0000	   2.5000	  -0.1630	  -0.6739	   0.0543	  -0.0837	   0.0571	   0.1015	  -0.0139	   0.0095	   0.0264	   0.0146	   0.0015	   0.0000	  -0.0269	  -0.3425	   0.1999	   3.6225	   2.7138	   0.0169	
  -5.0000	 -31.0000	   2.5000	  -0.1087	  -0.6739	   0.0543	  -0.0944	   0.0528	   0.1083	  -0.0157	   0.0088	   0.0275	   0.0148	   0.0016	   0.0000	  -0.0068	  -0.4916	  -0.3239	   5.1404	   8.5941	   0.0181	
  -2.5000	 -31.0000	   2.5000	  -0.0543	  -0.6739	   0.0543	  -0.1047	   0.0453	   0.1143	  -0.0175	   0.0075	   0.0280	   0.0141	   0.0016	  -0.0000	   0.0087	  -0.5647	  -0.3560	   5.9153	   7.2036	   0.0190	
   0.0000	 -31.0000	   2.5000	   0.0000	  -0.6739	   0.0543	  -0.0965	   0.0409	   0.1049	  -0.0161	   0.0068	   0.0276	   0.0135	   0.0015	  -0.0000	   0.0226	  -0.8241	  -0.0601	  10.2139	   3.1920	   0.0175	
