Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-142mm_16x32x32_MovingAvg3x3" I=65 J=40 F=POINT
 -35.0000	-142.0000	   2.5000	  -0.7609	  -3.0870	   0.0543	  -0.0001	  -0.0001	   0.0001	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0000	   0.0006	   0.0022	  -0.0032	  -0.0083	  -0.0083	   0.0000	
 -32.5000	-142.0000	   2.5000	  -0.7065	  -3.0870	   0.0543	  -0.0001	  -0.0001	   0.0002	  -0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0000	   0.0009	   0.0035	  -0.0049	  -0.0135	  -0.0133	   0.0000	
 -30.0000	-142.0000	   2.5000	  -0.6522	  -3.0870	   0.0543	  -0.0003	   0.0002	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0001	   0.0007	  -0.0041	   0.0053	  -0.0074	   0.0001	
 -27.5000	-142.0000	   2.5000	  -0.5978	  -3.0870	   0.0543	   0.0021	  -0.0037	  -0.0040	   0.0003	  -0.0006	  -0.0012	  -0.0008	  -0.0000	  -0.0000	   0.0242	   0.0830	  -0.0714	  -0.4326	  -0.2720	  -0.0007	
 -25.0000	-142.0000	   2.5000	  -0.5435	  -3.0870	   0.0543	  -0.0117	   0.0199	   0.0233	  -0.0020	   0.0033	   0.0058	   0.0049	   0.0002	   0.0001	  -0.1095	  -0.3644	   0.2662	   1.9984	   1.1052	   0.0039	
 -22.5000	-142.0000	   2.5000	  -0.4891	  -3.0870	   0.0543	  -0.0907	   0.1146	   0.1474	  -0.0151	   0.0191	   0.0377	   0.0274	   0.0015	   0.0005	  -0.6142	  -1.9903	   1.5867	  10.7706	   6.8575	   0.0246	
 -20.0000	-142.0000	   2.5000	  -0.4348	  -3.0870	   0.0543	  -0.1286	   0.1425	   0.1927	  -0.0214	   0.0238	   0.0440	   0.0260	   0.0020	   0.0005	  -0.4383	  -0.9613	   0.9785	   5.9179	   5.2787	   0.0321	
 -17.5000	-142.0000	   2.5000	  -0.3804	  -3.0870	   0.0543	  -0.1740	   0.1984	   0.2657	  -0.0290	   0.0331	   0.0577	   0.0302	   0.0031	   0.0008	  -0.4921	  -0.5913	   0.8013	   4.4054	   4.5090	   0.0443	
 -15.0000	-142.0000	   2.5000	  -0.3261	  -3.0870	   0.0543	  -0.2126	   0.1966	   0.2901	  -0.0354	   0.0328	   0.0719	   0.0303	   0.0046	   0.0011	  -0.5371	  -0.5697	   0.8955	   3.8812	   4.8217	   0.0484	
 -12.5000	-142.0000	   2.5000	  -0.2717	  -3.0870	   0.0543	  -0.2412	   0.1915	   0.3084	  -0.0402	   0.0319	   0.0842	   0.0304	   0.0060	   0.0013	  -0.5331	  -0.5247	   1.0240	   3.3571	   5.3840	   0.0514	
 -10.0000	-142.0000	   2.5000	  -0.2174	  -3.0870	   0.0543	  -0.2676	   0.1873	   0.3267	  -0.0446	   0.0312	   0.0952	   0.0310	   0.0075	   0.0015	  -0.5230	  -0.4244	   1.1219	   2.9540	   5.3959	   0.0545	
  -7.5000	-142.0000	   2.5000	  -0.1630	  -3.0870	   0.0543	  -0.3306	   0.1885	   0.3807	  -0.0551	   0.0314	   0.1032	   0.0313	   0.0087	   0.0016	  -0.4975	  -0.3169	   1.1910	   2.7117	   5.4953	   0.0634	
  -5.0000	-142.0000	   2.5000	  -0.1087	  -3.0870	   0.0543	  -0.4202	   0.1758	   0.4555	  -0.0700	   0.0293	   0.1112	   0.0320	   0.0101	   0.0015	  -0.4211	  -0.2083	   1.1461	   2.5949	   5.3249	   0.0759	
  -2.5000	-142.0000	   2.5000	  -0.0543	  -3.0870	   0.0543	  -0.5087	   0.1598	   0.5334	  -0.0848	   0.0266	   0.1172	   0.0320	   0.0111	   0.0013	  -0.3464	  -0.1629	   0.7644	   2.6125	   4.2414	   0.0889	
   0.0000	-142.0000	   2.5000	   0.0000	  -3.0870	   0.0543	  -0.5661	   0.1404	   0.5835	  -0.0943	   0.0234	   0.1166	   0.0298	   0.0109	   0.0008	  -0.2433	  -0.1007	   0.4230	   2.6592	   4.2928	   0.0973	
   2.5000	-142.0000	   2.5000	   0.0543	  -3.0870	   0.0543	  -0.5951	   0.1121	   0.6063	  -0.0992	   0.0187	   0.1095	   0.0263	   0.0095	   0.0003	  -0.0925	  -0.0089	  -0.0170	   2.7742	   4.8069	   0.1010	
   5.0000	-142.0000	   2.5000	   0.1087	  -3.0870	   0.0543	  -0.5992	   0.0659	   0.6034	  -0.0999	   0.0110	   0.0985	   0.0252	   0.0077	  -0.0005	   0.1847	   0.0944	  -0.1671	   2.9379	   4.8773	   0.1006	
   7.5000	-142.0000	   2.5000	   0.1630	  -3.0870	   0.0543	  -0.5827	   0.0125	   0.5834	  -0.0971	   0.0021	   0.0871	   0.0267	   0.0062	  -0.0009	   0.3851	   0.1626	  -0.0273	   3.1718	   4.1649	   0.0972	
  10.0000	-142.0000	   2.5000	   0.2174	  -3.0870	   0.0543	  -0.5451	  -0.0403	   0.5467	  -0.0908	  -0.0067	   0.0763	   0.0288	   0.0050	  -0.0008	   0.3907	   0.1643	  -0.0139	   3.4515	   3.6294	   0.0911	
  12.5000	-142.0000	   2.5000	   0.2717	  -3.0870	   0.0543	  -0.4705	  -0.0810	   0.4775	  -0.0784	  -0.0135	   0.0658	   0.0284	   0.0038	  -0.0006	   0.3391	   0.1758	  -0.0369	   3.7817	   3.6195	   0.0796	
  15.0000	-142.0000	   2.5000	   0.3261	  -3.0870	   0.0543	  -0.3667	  -0.0965	   0.3788	  -0.0611	  -0.0161	   0.0561	   0.0257	   0.0029	  -0.0005	   0.3220	   0.1176	  -0.2976	   3.9165	   4.2716	   0.0631	
  17.5000	-142.0000	   2.5000	   0.3804	  -3.0870	   0.0543	  -0.2485	  -0.0763	   0.2585	  -0.0414	  -0.0127	   0.0428	   0.0227	   0.0018	  -0.0003	   0.3322	  -0.0047	  -0.4603	   4.2850	   4.2495	   0.0431	
  20.0000	-142.0000	   2.5000	   0.4348	  -3.0870	   0.0543	  -0.1831	  -0.0756	   0.1971	  -0.0305	  -0.0126	   0.0337	   0.0212	   0.0012	  -0.0003	   0.4483	  -0.5369	  -1.3855	   5.1605	   6.1671	   0.0328	
  22.5000	-142.0000	   2.5000	   0.4891	  -3.0870	   0.0543	  -0.1034	  -0.0721	   0.1252	  -0.0172	  -0.0120	   0.0260	   0.0201	   0.0009	  -0.0004	   0.5689	  -0.8521	  -1.1033	   5.0572	   4.2253	   0.0209	
  25.0000	-142.0000	   2.5000	   0.5435	  -3.0870	   0.0543	   0.0084	   0.0048	  -0.0101	   0.0014	   0.0008	  -0.0025	  -0.0015	  -0.0001	   0.0000	  -0.0592	   0.1029	   0.1323	  -0.4671	  -0.4595	  -0.0017	
