Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=87mm_16x32x32_MovingAvg5x5" I=65 J=40 F=POINT
 -35.0000	  87.0000	   2.5000	  -0.7609	   1.8913	   0.0543	  -0.0004	  -0.0001	   0.0004	  -0.0001	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0036	   0.0005	  -0.0143	  -0.0122	   0.0001	
 -32.5000	  87.0000	   2.5000	  -0.7065	   1.8913	   0.0543	  -0.0006	  -0.0002	   0.0005	  -0.0001	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0002	   0.0049	   0.0004	  -0.0201	  -0.0180	   0.0001	
 -30.0000	  87.0000	   2.5000	  -0.6522	   1.8913	   0.0543	  -0.0007	  -0.0002	   0.0007	  -0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	   0.0000	   0.0004	   0.0062	   0.0003	  -0.0255	  -0.0219	   0.0001	
 -27.5000	  87.0000	   2.5000	  -0.5978	   1.8913	   0.0543	  -0.0011	  -0.0003	   0.0009	  -0.0002	  -0.0000	   0.0001	   0.0001	   0.0000	   0.0000	   0.0009	   0.0049	  -0.0004	  -0.0206	  -0.0085	   0.0002	
 -25.0000	  87.0000	   2.5000	  -0.5435	   1.8913	   0.0543	  -0.0013	  -0.0018	  -0.0003	  -0.0002	  -0.0003	  -0.0005	  -0.0000	  -0.0000	  -0.0000	   0.0102	   0.0732	  -0.0000	  -0.3011	  -0.4064	  -0.0000	
 -22.5000	  87.0000	   2.5000	  -0.4891	   1.8913	   0.0543	  -0.0029	   0.0063	   0.0093	  -0.0005	   0.0010	   0.0041	   0.0011	   0.0001	   0.0000	  -0.0483	  -0.3326	  -0.0430	   1.2913	   1.9924	   0.0015	
 -20.0000	  87.0000	   2.5000	  -0.4348	   1.8913	   0.0543	  -0.0147	   0.0531	   0.0621	  -0.0025	   0.0088	   0.0243	   0.0073	   0.0005	   0.0000	  -0.2183	  -2.1459	  -0.1431	   9.3828	   9.3042	   0.0103	
 -17.5000	  87.0000	   2.5000	  -0.3804	   1.8913	   0.0543	  -0.0558	   0.0631	   0.0914	  -0.0093	   0.0105	   0.0238	   0.0094	   0.0005	   0.0000	  -0.0323	  -1.9584	   0.3104	  11.6225	   6.3623	   0.0152	
 -15.0000	  87.0000	   2.5000	  -0.3261	   1.8913	   0.0543	  -0.1157	   0.0584	   0.1319	  -0.0193	   0.0097	   0.0305	   0.0112	   0.0008	   0.0001	  -0.1804	  -1.8770	   0.5090	  10.8195	   9.1985	   0.0220	
 -12.5000	  87.0000	   2.5000	  -0.2717	   1.8913	   0.0543	  -0.1742	   0.0427	   0.1803	  -0.0290	   0.0071	   0.0364	   0.0119	   0.0011	   0.0001	  -0.1632	  -1.8014	  -0.0141	   8.2652	   7.0114	   0.0301	
