Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-115mm_16x32x32_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	-115.0000	   2.5000	  -1.7391	  -2.5000	   0.0543	  -0.0004	   0.0001	   0.0005	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0005	   0.0001	   0.0034	   0.0039	   0.0001	
 -77.5000	-115.0000	   2.5000	  -1.6848	  -2.5000	   0.0543	  -0.0004	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0005	   0.0001	   0.0034	   0.0040	   0.0001	
 -75.0000	-115.0000	   2.5000	  -1.6304	  -2.5000	   0.0543	  -0.0004	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0005	   0.0001	   0.0035	   0.0041	   0.0001	
 -72.5000	-115.0000	   2.5000	  -1.5761	  -2.5000	   0.0543	  -0.0004	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0001	  -0.0005	   0.0001	   0.0037	   0.0042	   0.0001	
 -70.0000	-115.0000	   2.5000	  -1.5217	  -2.5000	   0.0543	  -0.0005	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0005	   0.0001	   0.0039	   0.0044	   0.0001	
 -67.5000	-115.0000	   2.5000	  -1.4674	  -2.5000	   0.0543	  -0.0005	   0.0001	   0.0006	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0006	   0.0001	   0.0041	   0.0047	   0.0001	
 -65.0000	-115.0000	   2.5000	  -1.4130	  -2.5000	   0.0543	  -0.0005	   0.0001	   0.0007	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0006	   0.0002	   0.0044	   0.0051	   0.0001	
 -62.5000	-115.0000	   2.5000	  -1.3587	  -2.5000	   0.0543	  -0.0006	   0.0001	   0.0007	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0007	   0.0002	   0.0048	   0.0055	   0.0001	
 -60.0000	-115.0000	   2.5000	  -1.3043	  -2.5000	   0.0543	  -0.0006	   0.0001	   0.0008	  -0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0003	  -0.0008	   0.0002	   0.0053	   0.0060	   0.0001	
 -57.5000	-115.0000	   2.5000	  -1.2500	  -2.5000	   0.0543	  -0.0007	   0.0001	   0.0009	  -0.0001	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0003	  -0.0009	   0.0003	   0.0058	   0.0065	   0.0001	
 -55.0000	-115.0000	   2.5000	  -1.1957	  -2.5000	   0.0543	  -0.0008	   0.0001	   0.0009	  -0.0001	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0003	  -0.0010	   0.0003	   0.0065	   0.0072	   0.0002	
 -52.5000	-115.0000	   2.5000	  -1.1413	  -2.5000	   0.0543	  -0.0009	   0.0002	   0.0010	  -0.0001	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0004	  -0.0011	   0.0004	   0.0072	   0.0080	   0.0002	
 -50.0000	-115.0000	   2.5000	  -1.0870	  -2.5000	   0.0543	  -0.0010	   0.0002	   0.0011	  -0.0002	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0005	  -0.0012	   0.0005	   0.0081	   0.0089	   0.0002	
 -47.5000	-115.0000	   2.5000	  -1.0326	  -2.5000	   0.0543	  -0.0011	   0.0002	   0.0013	  -0.0002	   0.0000	   0.0002	   0.0001	   0.0000	   0.0000	  -0.0006	  -0.0014	   0.0006	   0.0091	   0.0100	   0.0002	
 -45.0000	-115.0000	   2.5000	  -0.9783	  -2.5000	   0.0543	  -0.0013	   0.0002	   0.0014	  -0.0002	   0.0000	   0.0002	   0.0001	   0.0000	   0.0000	  -0.0007	  -0.0017	   0.0007	   0.0104	   0.0113	   0.0002	
 -42.5000	-115.0000	   2.5000	  -0.9239	  -2.5000	   0.0543	  -0.0015	   0.0003	   0.0016	  -0.0002	   0.0000	   0.0002	   0.0001	   0.0000	   0.0000	  -0.0008	  -0.0020	   0.0009	   0.0121	   0.0129	   0.0003	
 -40.0000	-115.0000	   2.5000	  -0.8696	  -2.5000	   0.0543	  -0.0017	   0.0004	   0.0019	  -0.0003	   0.0001	   0.0002	   0.0001	   0.0000	   0.0000	  -0.0010	  -0.0024	   0.0012	   0.0143	   0.0151	   0.0003	
 -37.5000	-115.0000	   2.5000	  -0.8152	  -2.5000	   0.0543	  -0.0020	   0.0004	   0.0022	  -0.0003	   0.0001	   0.0003	   0.0001	   0.0000	   0.0000	  -0.0014	  -0.0030	   0.0016	   0.0176	   0.0182	   0.0004	
 -35.0000	-115.0000	   2.5000	  -0.7609	  -2.5000	   0.0543	  -0.0024	   0.0006	   0.0027	  -0.0004	   0.0001	   0.0003	   0.0002	   0.0000	   0.0000	  -0.0018	  -0.0038	   0.0021	   0.0216	   0.0221	   0.0004	
 -32.5000	-115.0000	   2.5000	  -0.7065	  -2.5000	   0.0543	  -0.0032	   0.0009	   0.0035	  -0.0005	   0.0001	   0.0005	   0.0003	   0.0000	   0.0000	  -0.0030	  -0.0061	   0.0037	   0.0318	   0.0310	   0.0006	
 -30.0000	-115.0000	   2.5000	  -0.6522	  -2.5000	   0.0543	  -0.0039	   0.0009	   0.0041	  -0.0006	   0.0001	   0.0005	   0.0003	   0.0000	   0.0000	  -0.0028	  -0.0056	   0.0033	   0.0327	   0.0342	   0.0007	
 -27.5000	-115.0000	   2.5000	  -0.5978	  -2.5000	   0.0543	  -0.0072	   0.0029	   0.0081	  -0.0012	   0.0005	   0.0013	   0.0008	   0.0001	   0.0000	  -0.0124	  -0.0245	   0.0168	   0.1055	   0.0893	   0.0013	
 -25.0000	-115.0000	   2.5000	  -0.5435	  -2.5000	   0.0543	  -0.0063	   0.0007	   0.0062	  -0.0010	   0.0001	   0.0007	   0.0002	   0.0000	  -0.0000	   0.0014	   0.0039	  -0.0039	   0.0139	   0.0363	   0.0010	
 -22.5000	-115.0000	   2.5000	  -0.4891	  -2.5000	   0.0543	  -0.0572	   0.0340	   0.0671	  -0.0095	   0.0057	   0.0132	   0.0087	   0.0007	   0.0003	  -0.1868	  -0.3780	   0.2739	   1.3963	   1.0528	   0.0112	
 -20.0000	-115.0000	   2.5000	  -0.4348	  -2.5000	   0.0543	  -0.0990	   0.0466	   0.1096	  -0.0165	   0.0078	   0.0184	   0.0106	   0.0010	   0.0003	  -0.1819	  -0.3286	   0.2014	   1.5010	   1.3457	   0.0183	
 -17.5000	-115.0000	   2.5000	  -0.3804	  -2.5000	   0.0543	  -0.1334	   0.0450	   0.1403	  -0.0222	   0.0075	   0.0197	   0.0103	   0.0011	   0.0002	  -0.1305	  -0.2028	   0.1492	   1.2501	   1.1988	   0.0234	
 -15.0000	-115.0000	   2.5000	  -0.3261	  -2.5000	   0.0543	  -0.1766	   0.0535	   0.1841	  -0.0294	   0.0089	   0.0220	   0.0106	   0.0013	   0.0002	  -0.1279	  -0.1537	   0.1493	   1.1161	   1.1944	   0.0307	
 -12.5000	-115.0000	   2.5000	  -0.2717	  -2.5000	   0.0543	  -0.1903	   0.0522	   0.1970	  -0.0317	   0.0087	   0.0244	   0.0107	   0.0015	   0.0002	  -0.1175	  -0.1375	   0.1741	   1.1001	   1.2582	   0.0328	
 -10.0000	-115.0000	   2.5000	  -0.2174	  -2.5000	   0.0543	  -0.1965	   0.0438	   0.2009	  -0.0327	   0.0073	   0.0254	   0.0118	   0.0017	   0.0002	  -0.1062	  -0.1168	   0.1962	   1.0638	   1.2074	   0.0335	
  -7.5000	-115.0000	   2.5000	  -0.1630	  -2.5000	   0.0543	  -0.2199	   0.0439	   0.2241	  -0.0366	   0.0073	   0.0271	   0.0118	   0.0019	   0.0002	  -0.0823	  -0.1089	   0.1455	   1.0469	   1.3002	   0.0373	
  -5.0000	-115.0000	   2.5000	  -0.1087	  -2.5000	   0.0543	  -0.2503	   0.0526	   0.2560	  -0.0417	   0.0088	   0.0295	   0.0110	   0.0021	   0.0002	  -0.0829	  -0.1022	   0.0342	   1.0373	   1.4526	   0.0427	
  -2.5000	-115.0000	   2.5000	  -0.0543	  -2.5000	   0.0543	  -0.2577	   0.0327	   0.2602	  -0.0430	   0.0055	   0.0297	   0.0113	   0.0021	   0.0001	  -0.0315	  -0.1058	  -0.0142	   1.0551	   1.4978	   0.0434	
