Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=148mm_Tec" I=17 J=25 F=POINT
 -20.0000	 148.0000	   5.0000	  -0.4348	   3.2174	   0.1087	  82.7501	  42.3353	
 -17.5000	 148.0000	   5.0000	  -0.3804	   3.2174	   0.1087	  86.6863	  55.7837	
 -15.0000	 148.0000	   5.0000	  -0.3261	   3.2174	   0.1087	  90.6675	  69.3025	
 -12.5000	 148.0000	   5.0000	  -0.2717	   3.2174	   0.1087	  94.6487	  82.8212	
 -10.0000	 148.0000	   5.0000	  -0.2174	   3.2174	   0.1087	  98.6300	  96.3400	
  -7.5000	 148.0000	   5.0000	  -0.1630	   3.2174	   0.1087	  88.9250	  96.4025	
  -5.0000	 148.0000	   5.0000	  -0.1087	   3.2174	   0.1087	  79.2200	  96.4650	
  -2.5000	 148.0000	   5.0000	  -0.0543	   3.2174	   0.1087	  69.5150	  96.5275	
   0.0000	 148.0000	   5.0000	   0.0000	   3.2174	   0.1087	  59.8100	  96.5900	
   2.5000	 148.0000	   5.0000	   0.0543	   3.2174	   0.1087	  51.5050	  84.6150	
   5.0000	 148.0000	   5.0000	   0.1087	   3.2174	   0.1087	  43.2000	  72.6400	
   7.5000	 148.0000	   5.0000	   0.1630	   3.2174	   0.1087	  34.8950	  60.6650	
  10.0000	 148.0000	   5.0000	   0.2174	   3.2174	   0.1087	  26.5900	  48.6900	
  12.5000	 148.0000	   5.0000	   0.2717	   3.2174	   0.1087	  24.1900	  42.5225	
  15.0000	 148.0000	   5.0000	   0.3261	   3.2174	   0.1087	  21.7900	  36.3550	
  17.5000	 148.0000	   5.0000	   0.3804	   3.2174	   0.1087	  19.3900	  30.1875	
  20.0000	 148.0000	   5.0000	   0.4348	   3.2174	   0.1087	  16.9900	  24.0200	
 -20.0000	 148.0000	   7.5000	  -0.4348	   3.2174	   0.1630	  78.6324	  42.0631	
 -17.5000	 148.0000	   7.5000	  -0.3804	   3.2174	   0.1630	  80.6827	  52.4480	
 -15.0000	 148.0000	   7.5000	  -0.3261	   3.2174	   0.1630	  82.6834	  62.8753	
 -12.5000	 148.0000	   7.5000	  -0.2717	   3.2174	   0.1630	  84.6842	  73.3027	
 -10.0000	 148.0000	   7.5000	  -0.2174	   3.2174	   0.1630	  84.7583	  81.7049	
  -7.5000	 148.0000	   7.5000	  -0.1630	   3.2174	   0.1630	  78.3537	  83.2975	
  -5.0000	 148.0000	   7.5000	  -0.1087	   3.2174	   0.1630	  70.0225	  82.8650	
  -2.5000	 148.0000	   7.5000	  -0.0543	   3.2174	   0.1630	  61.6912	  82.4325	
   0.0000	 148.0000	   7.5000	   0.0000	   3.2174	   0.1630	  53.5822	  80.4216	
   2.5000	 148.0000	   7.5000	   0.0543	   3.2174	   0.1630	  46.3250	  72.3600	
   5.0000	 148.0000	   7.5000	   0.1087	   3.2174	   0.1630	  39.2900	  62.7200	
   7.5000	 148.0000	   7.5000	   0.1630	   3.2174	   0.1630	  32.2550	  53.0800	
  10.0000	 148.0000	   7.5000	   0.2174	   3.2174	   0.1630	  26.0470	  44.1861	
  12.5000	 148.0000	   7.5000	   0.2717	   3.2174	   0.1630	  23.0094	  38.1525	
  15.0000	 148.0000	   7.5000	   0.3261	   3.2174	   0.1630	  20.7987	  32.8650	
  17.5000	 148.0000	   7.5000	   0.3804	   3.2174	   0.1630	  18.5881	  27.5775	
  20.0000	 148.0000	   7.5000	   0.4348	   3.2174	   0.1630	  16.3775	  22.2900	
 -20.0000	 148.0000	  10.0000	  -0.4348	   3.2174	   0.2174	  74.5148	  41.7909	
 -17.5000	 148.0000	  10.0000	  -0.3804	   3.2174	   0.2174	  74.6791	  49.1122	
 -15.0000	 148.0000	  10.0000	  -0.3261	   3.2174	   0.2174	  74.6994	  56.4481	
 -12.5000	 148.0000	  10.0000	  -0.2717	   3.2174	   0.2174	  74.7197	  63.7841	
 -10.0000	 148.0000	  10.0000	  -0.2174	   3.2174	   0.2174	  73.0636	  69.1348	
  -7.5000	 148.0000	  10.0000	  -0.1630	   3.2174	   0.2174	  67.7825	  70.1925	
  -5.0000	 148.0000	  10.0000	  -0.1087	   3.2174	   0.2174	  60.8250	  69.2650	
  -2.5000	 148.0000	  10.0000	  -0.0543	   3.2174	   0.2174	  53.8675	  68.3375	
   0.0000	 148.0000	  10.0000	   0.0000	   3.2174	   0.2174	  47.1750	  65.9928	
   2.5000	 148.0000	  10.0000	   0.0543	   3.2174	   0.2174	  41.1450	  60.1050	
   5.0000	 148.0000	  10.0000	   0.1087	   3.2174	   0.2174	  35.3800	  52.8000	
   7.5000	 148.0000	  10.0000	   0.1630	   3.2174	   0.2174	  29.6150	  45.4950	
  10.0000	 148.0000	  10.0000	   0.2174	   3.2174	   0.2174	  24.6819	  38.8339	
  12.5000	 148.0000	  10.0000	   0.2717	   3.2174	   0.2174	  21.8287	  33.7825	
  15.0000	 148.0000	  10.0000	   0.3261	   3.2174	   0.2174	  19.8075	  29.3750	
  17.5000	 148.0000	  10.0000	   0.3804	   3.2174	   0.2174	  17.7862	  24.9675	
  20.0000	 148.0000	  10.0000	   0.4348	   3.2174	   0.2174	  15.7650	  20.5600	
 -20.0000	 148.0000	  12.5000	  -0.4348	   3.2174	   0.2717	  70.3972	  41.5187	
