Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=-142mm_Tec" I=17 J=25 F=POINT
 -20.0000	-142.0000	   5.0000	  -0.4348	  -3.0870	   0.1087	  28.5000	  36.8700	
 -17.5000	-142.0000	   5.0000	  -0.3804	  -3.0870	   0.1087	  30.1175	  42.4150	
 -15.0000	-142.0000	   5.0000	  -0.3261	  -3.0870	   0.1087	  31.7350	  47.9600	
 -12.5000	-142.0000	   5.0000	  -0.2717	  -3.0870	   0.1087	  33.3525	  53.5050	
 -10.0000	-142.0000	   5.0000	  -0.2174	  -3.0870	   0.1087	  34.9700	  59.0500	
  -7.5000	-142.0000	   5.0000	  -0.1630	  -3.0870	   0.1087	  30.2600	  53.5100	
  -5.0000	-142.0000	   5.0000	  -0.1087	  -3.0870	   0.1087	  25.5500	  47.9700	
  -2.5000	-142.0000	   5.0000	  -0.0543	  -3.0870	   0.1087	  20.8400	  42.4300	
   0.0000	-142.0000	   5.0000	   0.0000	  -3.0870	   0.1087	  16.1300	  36.8900	
   2.5000	-142.0000	   5.0000	   0.0543	  -3.0870	   0.1087	  13.8450	  31.0825	
   5.0000	-142.0000	   5.0000	   0.1087	  -3.0870	   0.1087	  11.5600	  25.2750	
   7.5000	-142.0000	   5.0000	   0.1630	  -3.0870	   0.1087	   9.2750	  19.4675	
  10.0000	-142.0000	   5.0000	   0.2174	  -3.0870	   0.1087	   6.9900	  13.6600	
  12.5000	-142.0000	   5.0000	   0.2717	  -3.0870	   0.1087	   6.1725	  12.1250	
  15.0000	-142.0000	   5.0000	   0.3261	  -3.0870	   0.1087	   5.3550	  10.5900	
  17.5000	-142.0000	   5.0000	   0.3804	  -3.0870	   0.1087	   4.5375	   9.0550	
  20.0000	-142.0000	   5.0000	   0.4348	  -3.0870	   0.1087	   3.7200	   7.5200	
 -20.0000	-142.0000	   7.5000	  -0.4348	  -3.0870	   0.1630	  28.6100	  35.8000	
 -17.5000	-142.0000	   7.5000	  -0.3804	  -3.0870	   0.1630	  28.6275	  39.0787	
 -15.0000	-142.0000	   7.5000	  -0.3261	  -3.0870	   0.1630	  28.6450	  42.3575	
 -12.5000	-142.0000	   7.5000	  -0.2717	  -3.0870	   0.1630	  28.6625	  45.6362	
 -10.0000	-142.0000	   7.5000	  -0.2174	  -3.0870	   0.1630	  28.0293	  47.5671	
  -7.5000	-142.0000	   7.5000	  -0.1630	  -3.0870	   0.1630	  24.9019	  44.3312	
  -5.0000	-142.0000	   7.5000	  -0.1087	  -3.0870	   0.1630	  21.1238	  39.7475	
  -2.5000	-142.0000	   7.5000	  -0.0543	  -3.0870	   0.1630	  17.3456	  35.1638	
   0.0000	-142.0000	   7.5000	   0.0000	  -3.0870	   0.1630	  13.9056	  30.6019	
   2.5000	-142.0000	   7.5000	   0.0543	  -3.0870	   0.1630	  11.7619	  26.1238	
   5.0000	-142.0000	   7.5000	   0.1087	  -3.0870	   0.1630	   9.9563	  21.6675	
   7.5000	-142.0000	   7.5000	   0.1630	  -3.0870	   0.1630	   8.1506	  17.2112	
  10.0000	-142.0000	   7.5000	   0.2174	  -3.0870	   0.1630	   6.5286	  13.2714	
  12.5000	-142.0000	   7.5000	   0.2717	  -3.0870	   0.1630	   5.6106	  11.3113	
  15.0000	-142.0000	   7.5000	   0.3261	  -3.0870	   0.1630	   4.8763	   9.8675	
  17.5000	-142.0000	   7.5000	   0.3804	  -3.0870	   0.1630	   4.1419	   8.4237	
  20.0000	-142.0000	   7.5000	   0.4348	  -3.0870	   0.1630	   3.4075	   6.9800	
 -20.0000	-142.0000	  10.0000	  -0.4348	  -3.0870	   0.2174	  28.7200	  34.7300	
 -17.5000	-142.0000	  10.0000	  -0.3804	  -3.0870	   0.2174	  27.1375	  35.7425	
 -15.0000	-142.0000	  10.0000	  -0.3261	  -3.0870	   0.2174	  25.5550	  36.7550	
 -12.5000	-142.0000	  10.0000	  -0.2717	  -3.0870	   0.2174	  23.9725	  37.7675	
 -10.0000	-142.0000	  10.0000	  -0.2174	  -3.0870	   0.2174	  22.1092	  37.7489	
  -7.5000	-142.0000	  10.0000	  -0.1630	  -3.0870	   0.2174	  19.5437	  35.1525	
  -5.0000	-142.0000	  10.0000	  -0.1087	  -3.0870	   0.2174	  16.6975	  31.5250	
  -2.5000	-142.0000	  10.0000	  -0.0543	  -3.0870	   0.2174	  13.8512	  27.8975	
   0.0000	-142.0000	  10.0000	   0.0000	  -3.0870	   0.2174	  11.3428	  24.3861	
   2.5000	-142.0000	  10.0000	   0.0543	  -3.0870	   0.2174	   9.6788	  21.1650	
   5.0000	-142.0000	  10.0000	   0.1087	  -3.0870	   0.2174	   8.3525	  18.0600	
   7.5000	-142.0000	  10.0000	   0.1630	  -3.0870	   0.2174	   7.0262	  14.9550	
  10.0000	-142.0000	  10.0000	   0.2174	  -3.0870	   0.2174	   5.8500	  12.2394	
  12.5000	-142.0000	  10.0000	   0.2717	  -3.0870	   0.2174	   5.0488	  10.4975	
  15.0000	-142.0000	  10.0000	   0.3261	  -3.0870	   0.2174	   4.3975	   9.1450	
  17.5000	-142.0000	  10.0000	   0.3804	  -3.0870	   0.2174	   3.7463	   7.7925	
  20.0000	-142.0000	  10.0000	   0.4348	  -3.0870	   0.2174	   3.0950	   6.4400	
 -20.0000	-142.0000	  12.5000	  -0.4348	  -3.0870	   0.2717	  28.8300	  33.6600	
 -17.5000	-142.0000	  12.5000	  -0.3804	  -3.0870	   0.2717	  25.6475	  32.4062	
 -15.0000	-142.0000	  12.5000	  -0.3261	  -3.0870	   0.2717	  22.4650	  31.1525	
 -12.5000	-142.0000	  12.5000	  -0.2717	  -3.0870	   0.2717	  19.2825	  29.8987	
 -10.0000	-142.0000	  12.5000	  -0.2174	  -3.0870	   0.2717	  16.3174	  28.4020	
  -7.5000	-142.0000	  12.5000	  -0.1630	  -3.0870	   0.2717	  14.1856	  25.9737	
  -5.0000	-142.0000	  12.5000	  -0.1087	  -3.0870	   0.2717	  12.2712	  23.3025	
  -2.5000	-142.0000	  12.5000	  -0.0543	  -3.0870	   0.2717	  10.3569	  20.6313	
   0.0000	-142.0000	  12.5000	   0.0000	  -3.0870	   0.2717	   8.6255	  18.1173	
   2.5000	-142.0000	  12.5000	   0.0543	  -3.0870	   0.2717	   7.5956	  16.2063	
   5.0000	-142.0000	  12.5000	   0.1087	  -3.0870	   0.2717	   6.7487	  14.4525	
   7.5000	-142.0000	  12.5000	   0.1630	  -3.0870	   0.2717	   5.9019	  12.6987	
  10.0000	-142.0000	  12.5000	   0.2174	  -3.0870	   0.2717	   5.1028	  11.0294	
  12.5000	-142.0000	  12.5000	   0.2717	  -3.0870	   0.2717	   4.4869	   9.6837	
  15.0000	-142.0000	  12.5000	   0.3261	  -3.0870	   0.2717	   3.9188	   8.4225	
  17.5000	-142.0000	  12.5000	   0.3804	  -3.0870	   0.2717	   3.3506	   7.1612	
  20.0000	-142.0000	  12.5000	   0.4348	  -3.0870	   0.2717	   2.7825	   5.9000	
 -20.0000	-142.0000	  15.0000	  -0.4348	  -3.0870	   0.3261	  28.9400	  32.5900	
 -17.5000	-142.0000	  15.0000	  -0.3804	  -3.0870	   0.3261	  24.1241	  29.2993	
 -15.0000	-142.0000	  15.0000	  -0.3261	  -3.0870	   0.3261	  19.7744	  26.4050	
 -12.5000	-142.0000	  15.0000	  -0.2717	  -3.0870	   0.3261	  15.2422	  23.1199	
 -10.0000	-142.0000	  15.0000	  -0.2174	  -3.0870	   0.3261	   9.8100	  18.5100	
  -7.5000	-142.0000	  15.0000	  -0.1630	  -3.0870	   0.3261	   9.6487	  18.1630	
  -5.0000	-142.0000	  15.0000	  -0.1087	  -3.0870	   0.3261	   8.6892	  16.6561	
  -2.5000	-142.0000	  15.0000	  -0.0543	  -3.0870	   0.3261	   7.3437	  14.4287	
   0.0000	-142.0000	  15.0000	   0.0000	  -3.0870	   0.3261	   5.8800	  11.6500	
   2.5000	-142.0000	  15.0000	   0.0543	  -3.0870	   0.3261	   5.7522	  11.9291	
   5.0000	-142.0000	  15.0000	   0.1087	  -3.0870	   0.3261	   5.3631	  11.4306	
   7.5000	-142.0000	  15.0000	   0.1630	  -3.0870	   0.3261	   4.8743	  10.6643	
  10.0000	-142.0000	  15.0000	   0.2174	  -3.0870	   0.3261	   4.4100	  10.0400	
  12.5000	-142.0000	  15.0000	   0.2717	  -3.0870	   0.3261	   3.9501	   8.8712	
  15.0000	-142.0000	  15.0000	   0.3261	  -3.0870	   0.3261	   3.4722	   7.7136	
  17.5000	-142.0000	  15.0000	   0.3804	  -3.0870	   0.3261	   2.9796	   6.5498	
  20.0000	-142.0000	  15.0000	   0.4348	  -3.0870	   0.3261	   2.4700	   5.3600	
 -20.0000	-142.0000	  17.5000	  -0.4348	  -3.0870	   0.3804	  26.8625	  30.3475	
 -17.5000	-142.0000	  17.5000	  -0.3804	  -3.0870	   0.3804	  22.4725	  27.0713	
 -15.0000	-142.0000	  17.5000	  -0.3261	  -3.0870	   0.3804	  18.0825	  23.7950	
 -12.5000	-142.0000	  17.5000	  -0.2717	  -3.0870	   0.3804	  13.6925	  20.5188	
 -10.0000	-142.0000	  17.5000	  -0.2174	  -3.0870	   0.3804	   9.8764	  17.5219	
  -7.5000	-142.0000	  17.5000	  -0.1630	  -3.0870	   0.3804	   8.2600	  15.5963	
