Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=87mm_Tec" I=17 J=25 F=POINT
 -12.5000	  87.0000	  12.5000	  -0.2717	   1.8913	   0.2717	  45.7800	  44.8992	
 -10.0000	  87.0000	  12.5000	  -0.2174	   1.8913	   0.2717	  40.3774	  44.1360	
  -7.5000	  87.0000	  12.5000	  -0.1630	   1.8913	   0.2717	  35.3863	  40.3837	
  -5.0000	  87.0000	  12.5000	  -0.1087	   1.8913	   0.2717	  30.5175	  35.7425	
  -2.5000	  87.0000	  12.5000	  -0.0543	   1.8913	   0.2717	  25.6487	  31.1013	
   0.0000	  87.0000	  12.5000	   0.0000	   1.8913	   0.2717	  21.3220	  26.6926	
   2.5000	  87.0000	  12.5000	   0.0543	   1.8913	   0.2717	  19.0731	  23.1756	
   5.0000	  87.0000	  12.5000	   0.1087	   1.8913	   0.2717	  17.3663	  19.8912	
   7.5000	  87.0000	  12.5000	   0.1630	   1.8913	   0.2717	  15.6594	  16.6069	
  10.0000	  87.0000	  12.5000	   0.2174	   1.8913	   0.2717	  14.1318	  13.7352	
  12.5000	  87.0000	  12.5000	   0.2717	   1.8913	   0.2717	  13.2913	  12.4456	
  15.0000	  87.0000	  12.5000	   0.3261	   1.8913	   0.2717	  12.6300	  11.5688	
  17.5000	  87.0000	  12.5000	   0.3804	   1.8913	   0.2717	  11.9688	  10.6919	
  20.0000	  87.0000	  12.5000	   0.4348	   1.8913	   0.2717	  11.3075	   9.8150	
 -20.0000	  87.0000	  15.0000	  -0.4348	   1.8913	   0.3261	  53.3293	  45.1940	
 -17.5000	  87.0000	  15.0000	  -0.3804	   1.8913	   0.3261	  47.8097	  41.2045	
 -15.0000	  87.0000	  15.0000	  -0.3261	   1.8913	   0.3261	  42.0999	  37.8851	
 -12.5000	  87.0000	  15.0000	  -0.2717	   1.8913	   0.3261	  35.7481	  34.4532	
 -10.0000	  87.0000	  15.0000	  -0.2174	   1.8913	   0.3261	  28.1600	  29.3400	
  -7.5000	  87.0000	  15.0000	  -0.1630	   1.8913	   0.3261	  27.1385	  28.8234	
  -5.0000	  87.0000	  15.0000	  -0.1087	   1.8913	   0.3261	  24.6664	  26.4833	
  -2.5000	  87.0000	  15.0000	  -0.0543	   1.8913	   0.3261	  21.5993	  23.1771	
   0.0000	  87.0000	  15.0000	   0.0000	   1.8913	   0.3261	  18.5700	  19.4000	
   2.5000	  87.0000	  15.0000	   0.0543	   1.8913	   0.3261	  17.5528	  18.3736	
   5.0000	  87.0000	  15.0000	   0.1087	   1.8913	   0.3261	  16.3147	  16.5439	
   7.5000	  87.0000	  15.0000	   0.1630	   1.8913	   0.3261	  14.9990	  14.4129	
  10.0000	  87.0000	  15.0000	   0.2174	   1.8913	   0.3261	  13.7200	  12.3700	
  12.5000	  87.0000	  15.0000	   0.2717	   1.8913	   0.3261	  12.9462	  11.5767	
  15.0000	  87.0000	  15.0000	   0.3261	   1.8913	   0.3261	  12.1867	  10.7478	
  17.5000	  87.0000	  15.0000	   0.3804	   1.8913	   0.3261	  11.3944	   9.8650	
  20.0000	  87.0000	  15.0000	   0.4348	   1.8913	   0.3261	  10.5100	   8.8900	
 -20.0000	  87.0000	  17.5000	  -0.4348	   1.8913	   0.3804	  48.8864	  41.4562	
 -17.5000	  87.0000	  17.5000	  -0.3804	   1.8913	   0.3804	  43.7375	  37.8912	
 -15.0000	  87.0000	  17.5000	  -0.3261	   1.8913	   0.3804	  37.9125	  34.2975	
 -12.5000	  87.0000	  17.5000	  -0.2717	   1.8913	   0.3804	  32.0875	  30.7037	
 -10.0000	  87.0000	  17.5000	  -0.2174	   1.8913	   0.3804	  26.9577	  27.3510	
  -7.5000	  87.0000	  17.5000	  -0.1630	   1.8913	   0.3804	  24.1656	  24.8087	
  -5.0000	  87.0000	  17.5000	  -0.1087	   1.8913	   0.3804	  22.0687	  22.5075	
  -2.5000	  87.0000	  17.5000	  -0.0543	   1.8913	   0.3804	  19.9719	  20.2062	
   0.0000	  87.0000	  17.5000	   0.0000	   1.8913	   0.3804	  18.0470	  18.0371	
   2.5000	  87.0000	  17.5000	   0.0543	   1.8913	   0.3804	  16.7812	  16.3744	
   5.0000	  87.0000	  17.5000	   0.1087	   1.8913	   0.3804	  15.6875	  14.8437	
   7.5000	  87.0000	  17.5000	   0.1630	   1.8913	   0.3804	  14.5938	  13.3131	
  10.0000	  87.0000	  17.5000	   0.2174	   1.8913	   0.3804	  13.5523	  11.9111	
  12.5000	  87.0000	  17.5000	   0.2717	   1.8913	   0.3804	  12.7112	  11.0019	
  15.0000	  87.0000	  17.5000	   0.3261	   1.8913	   0.3804	  11.9225	  10.2212	
  17.5000	  87.0000	  17.5000	   0.3804	   1.8913	   0.3804	  11.1337	   9.4406	
  20.0000	  87.0000	  17.5000	   0.4348	   1.8913	   0.3804	  10.3450	   8.6600	
 -20.0000	  87.0000	  20.0000	  -0.4348	   1.8913	   0.4348	  44.4434	  37.7184	
 -17.5000	  87.0000	  20.0000	  -0.3804	   1.8913	   0.4348	  39.8619	  34.5831	
 -15.0000	  87.0000	  20.0000	  -0.3261	   1.8913	   0.4348	  34.6962	  31.3488	
 -12.5000	  87.0000	  20.0000	  -0.2717	   1.8913	   0.4348	  29.5306	  28.1144	
 -10.0000	  87.0000	  20.0000	  -0.2174	   1.8913	   0.4348	  25.1745	  25.1483	
  -7.5000	  87.0000	  20.0000	  -0.1630	   1.8913	   0.4348	  22.5688	  22.7625	
  -5.0000	  87.0000	  20.0000	  -0.1087	   1.8913	   0.4348	  20.7725	  20.6450	
  -2.5000	  87.0000	  20.0000	  -0.0543	   1.8913	   0.4348	  18.9763	  18.5275	
   0.0000	  87.0000	  20.0000	   0.0000	   1.8913	   0.4348	  17.3625	  16.5908	
   2.5000	  87.0000	  20.0000	   0.0543	   1.8913	   0.4348	  16.2050	  15.1063	
   5.0000	  87.0000	  20.0000	   0.1087	   1.8913	   0.4348	  15.2300	  13.8025	
   7.5000	  87.0000	  20.0000	   0.1630	   1.8913	   0.4348	  14.2550	  12.4987	
  10.0000	  87.0000	  20.0000	   0.2174	   1.8913	   0.4348	  13.3244	  11.3311	
  12.5000	  87.0000	  20.0000	   0.2717	   1.8913	   0.4348	  12.5050	  10.5037	
  15.0000	  87.0000	  20.0000	   0.3261	   1.8913	   0.4348	  11.7300	   9.8125	
  17.5000	  87.0000	  20.0000	   0.3804	   1.8913	   0.4348	  10.9550	   9.1213	
  20.0000	  87.0000	  20.0000	   0.4348	   1.8913	   0.4348	  10.1800	   8.4300	
 -20.0000	  87.0000	  22.5000	  -0.4348	   1.8913	   0.4891	  40.0004	  33.9806	
 -17.5000	  87.0000	  22.5000	  -0.3804	   1.8913	   0.4891	  35.9862	  31.2750	
 -15.0000	  87.0000	  22.5000	  -0.3261	   1.8913	   0.4891	  31.4800	  28.4000	
 -12.5000	  87.0000	  22.5000	  -0.2717	   1.8913	   0.4891	  26.9737	  25.5250	
 -10.0000	  87.0000	  22.5000	  -0.2174	   1.8913	   0.4891	  23.0289	  22.8255	
  -7.5000	  87.0000	  22.5000	  -0.1630	   1.8913	   0.4891	  20.9719	  20.7162	
  -5.0000	  87.0000	  22.5000	  -0.1087	   1.8913	   0.4891	  19.4762	  18.7825	
  -2.5000	  87.0000	  22.5000	  -0.0543	   1.8913	   0.4891	  17.9806	  16.8488	
   0.0000	  87.0000	  22.5000	   0.0000	   1.8913	   0.4891	  16.5946	  15.0619	
   2.5000	  87.0000	  22.5000	   0.0543	   1.8913	   0.4891	  15.6288	  13.8381	
   5.0000	  87.0000	  22.5000	   0.1087	   1.8913	   0.4891	  14.7725	  12.7613	
   7.5000	  87.0000	  22.5000	   0.1630	   1.8913	   0.4891	  13.9162	  11.6844	
  10.0000	  87.0000	  22.5000	   0.2174	   1.8913	   0.4891	  13.0763	  10.6889	
  12.5000	  87.0000	  22.5000	   0.2717	   1.8913	   0.4891	  12.2988	  10.0056	
  15.0000	  87.0000	  22.5000	   0.3261	   1.8913	   0.4891	  11.5375	   9.4037	
  17.5000	  87.0000	  22.5000	   0.3804	   1.8913	   0.4891	  10.7762	   8.8019	
  20.0000	  87.0000	  22.5000	   0.4348	   1.8913	   0.4891	  10.0150	   8.2000	
 -20.0000	  87.0000	  25.0000	  -0.4348	   1.8913	   0.5435	  35.5575	  30.2428	
 -17.5000	  87.0000	  25.0000	  -0.3804	   1.8913	   0.5435	  32.2094	  28.0266	
 -15.0000	  87.0000	  25.0000	  -0.3261	   1.8913	   0.5435	  28.6107	  25.6833	
 -12.5000	  87.0000	  25.0000	  -0.2717	   1.8913	   0.5435	  24.7114	  23.1547	
 -10.0000	  87.0000	  25.0000	  -0.2174	   1.8913	   0.5435	  20.5700	  20.4200	
  -7.5000	  87.0000	  25.0000	  -0.1630	   1.8913	   0.5435	  19.6623	  18.9474	
  -5.0000	  87.0000	  25.0000	  -0.1087	   1.8913	   0.5435	  18.4597	  17.2519	
  -2.5000	  87.0000	  25.0000	  -0.0543	   1.8913	   0.5435	  17.1293	  15.4047	
   0.0000	  87.0000	  25.0000	   0.0000	   1.8913	   0.5435	  15.7900	  13.4200	
   2.5000	  87.0000	  25.0000	   0.0543	   1.8913	   0.5435	  15.1057	  12.7427	
   5.0000	  87.0000	  25.0000	   0.1087	   1.8913	   0.5435	  14.3586	  11.8911	
   7.5000	  87.0000	  25.0000	   0.1630	   1.8913	   0.5435	  13.5915	  10.9613	
  10.0000	  87.0000	  25.0000	   0.2174	   1.8913	   0.5435	  12.8400	  10.0200	
  12.5000	  87.0000	  25.0000	   0.2717	   1.8913	   0.5435	  12.0886	   9.5459	
  15.0000	  87.0000	  25.0000	   0.3261	   1.8913	   0.5435	  11.3422	   9.0289	
  17.5000	  87.0000	  25.0000	   0.3804	   1.8913	   0.5435	  10.5971	   8.4964	
  20.0000	  87.0000	  25.0000	   0.4348	   1.8913	   0.5435	   9.8500	   7.9700	
 -20.0000	  87.0000	  27.5000	  -0.4348	   1.8913	   0.5978	  34.0131	  28.1944	
 -17.5000	  87.0000	  27.5000	  -0.3804	   1.8913	   0.5978	  30.9181	  26.2817	
 -15.0000	  87.0000	  27.5000	  -0.3261	   1.8913	   0.5978	  27.5338	  24.1653	
 -12.5000	  87.0000	  27.5000	  -0.2717	   1.8913	   0.5978	  24.1494	  22.0489	
 -10.0000	  87.0000	  27.5000	  -0.2174	   1.8913	   0.5978	  21.1516	  20.0119	
  -7.5000	  87.0000	  27.5000	  -0.1630	   1.8913	   0.5978	  19.4537	  18.2419	
  -5.0000	  87.0000	  27.5000	  -0.1087	   1.8913	   0.5978	  18.1425	  16.5512	
  -2.5000	  87.0000	  27.5000	  -0.0543	   1.8913	   0.5978	  16.8312	  14.8606	
   0.0000	  87.0000	  27.5000	   0.0000	   1.8913	   0.5978	  15.6191	  13.3123	
   2.5000	  87.0000	  27.5000	   0.0543	   1.8913	   0.5978	  14.7869	  12.3094	
   5.0000	  87.0000	  27.5000	   0.1087	   1.8913	   0.5978	  14.0537	  11.4488	
   7.5000	  87.0000	  27.5000	   0.1630	   1.8913	   0.5978	  13.3206	  10.5881	
  10.0000	  87.0000	  27.5000	   0.2174	   1.8913	   0.5978	  12.5891	   9.7903	
  12.5000	  87.0000	  27.5000	   0.2717	   1.8913	   0.5978	  11.8638	   9.2331	
  15.0000	  87.0000	  27.5000	   0.3261	   1.8913	   0.5978	  11.1400	   8.7387	
  17.5000	  87.0000	  27.5000	   0.3804	   1.8913	   0.5978	  10.4163	   8.2444	
  20.0000	  87.0000	  27.5000	   0.4348	   1.8913	   0.5978	   9.6925	   7.7500	
 -20.0000	  87.0000	  30.0000	  -0.4348	   1.8913	   0.6522	  32.4687	  26.1461	
 -17.5000	  87.0000	  30.0000	  -0.3804	   1.8913	   0.6522	  29.7256	  24.5966	
 -15.0000	  87.0000	  30.0000	  -0.3261	   1.8913	   0.6522	  26.8038	  22.8794	
 -12.5000	  87.0000	  30.0000	  -0.2717	   1.8913	   0.6522	  23.8819	  21.1622	
 -10.0000	  87.0000	  30.0000	  -0.2174	   1.8913	   0.6522	  21.3190	  19.4656	
  -7.5000	  87.0000	  30.0000	  -0.1630	   1.8913	   0.6522	  19.5325	  17.8137	
  -5.0000	  87.0000	  30.0000	  -0.1087	   1.8913	   0.6522	  18.1050	  16.1825	
  -2.5000	  87.0000	  30.0000	  -0.0543	   1.8913	   0.6522	  16.6775	  14.5512	
   0.0000	  87.0000	  30.0000	   0.0000	   1.8913	   0.6522	  15.4053	  13.0889	
   2.5000	  87.0000	  30.0000	   0.0543	   1.8913	   0.6522	  14.5213	  12.0488	
   5.0000	  87.0000	  30.0000	   0.1087	   1.8913	   0.6522	  13.7925	  11.1775	
