Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "West_y=-31mm_Tec" I=17 J=25 F=POINT
 -17.5000	 -31.0000	  12.5000	  -0.3804	  -0.6739	   0.2717	  47.5025	  35.1981	
 -15.0000	 -31.0000	  12.5000	  -0.3261	  -0.6739	   0.2717	  46.7975	  39.2213	
 -12.5000	 -31.0000	  12.5000	  -0.2717	  -0.6739	   0.2717	  46.0925	  43.2444	
 -10.0000	 -31.0000	  12.5000	  -0.2174	  -0.6739	   0.2717	  44.8603	  46.6177	
  -7.5000	 -31.0000	  12.5000	  -0.1630	  -0.6739	   0.2717	  41.6069	  47.5000	
  -5.0000	 -31.0000	  12.5000	  -0.1087	  -0.6739	   0.2717	  37.8262	  47.7325	
  -2.5000	 -31.0000	  12.5000	  -0.0543	  -0.6739	   0.2717	  34.0456	  47.9650	
   0.0000	 -31.0000	  12.5000	   0.0000	  -0.6739	   0.2717	  30.1373	  47.2072	
   2.5000	 -31.0000	  12.5000	   0.0543	  -0.6739	   0.2717	  25.7394	  42.6531	
   5.0000	 -31.0000	  12.5000	   0.1087	  -0.6739	   0.2717	  21.2137	  37.1088	
   7.5000	 -31.0000	  12.5000	   0.1630	  -0.6739	   0.2717	  16.6881	  31.5644	
  10.0000	 -31.0000	  12.5000	   0.2174	  -0.6739	   0.2717	  12.8252	  26.6634	
  12.5000	 -31.0000	  12.5000	   0.2717	  -0.6739	   0.2717	  11.5025	  24.2288	
  15.0000	 -31.0000	  12.5000	   0.3261	  -0.6739	   0.2717	  10.8425	  22.4375	
  17.5000	 -31.0000	  12.5000	   0.3804	  -0.6739	   0.2717	  10.1825	  20.6462	
  20.0000	 -31.0000	  12.5000	   0.4348	  -0.6739	   0.2717	   9.5225	  18.8550	
 -20.0000	 -31.0000	  15.0000	  -0.4348	  -0.6739	   0.3261	  43.2100	  30.9300	
 -17.5000	 -31.0000	  15.0000	  -0.3804	  -0.6739	   0.3261	  41.2320	  33.2236	
 -15.0000	 -31.0000	  15.0000	  -0.3261	  -0.6739	   0.3261	  39.1292	  35.6872	
 -12.5000	 -31.0000	  15.0000	  -0.2717	  -0.6739	   0.3261	  36.3570	  37.9830	
 -10.0000	 -31.0000	  15.0000	  -0.2174	  -0.6739	   0.3261	  32.1200	  39.7100	
  -7.5000	 -31.0000	  15.0000	  -0.1630	  -0.6739	   0.3261	  29.9833	  38.0762	
  -5.0000	 -31.0000	  15.0000	  -0.1087	  -0.6739	   0.3261	  26.6714	  36.3364	
  -2.5000	 -31.0000	  15.0000	  -0.0543	  -0.6739	   0.3261	  22.1108	  33.5033	
   0.0000	 -31.0000	  15.0000	   0.0000	  -0.6739	   0.3261	  15.7600	  28.1800	
   2.5000	 -31.0000	  15.0000	   0.0543	  -0.6739	   0.3261	  16.1112	  28.1584	
   5.0000	 -31.0000	  15.0000	   0.1087	  -0.6739	   0.3261	  14.4783	  25.7325	
   7.5000	 -31.0000	  15.0000	   0.1630	  -0.6739	   0.3261	  11.9845	  22.0415	
  10.0000	 -31.0000	  15.0000	   0.2174	  -0.6739	   0.3261	   9.4300	  17.7500	
  12.5000	 -31.0000	  15.0000	   0.2717	  -0.6739	   0.3261	   9.6939	  18.3894	
  15.0000	 -31.0000	  15.0000	   0.3261	  -0.6739	   0.3261	   9.5456	  17.9900	
  17.5000	 -31.0000	  15.0000	   0.3804	  -0.6739	   0.3261	   9.2393	  17.2021	
  20.0000	 -31.0000	  15.0000	   0.4348	  -0.6739	   0.3261	   8.9700	  16.5300	
 -20.0000	 -31.0000	  17.5000	  -0.4348	  -0.6739	   0.3804	  40.8925	  30.1825	
 -17.5000	 -31.0000	  17.5000	  -0.3804	  -0.6739	   0.3804	  38.0069	  31.6269	
 -15.0000	 -31.0000	  17.5000	  -0.3261	  -0.6739	   0.3804	  35.1212	  33.0712	
 -12.5000	 -31.0000	  17.5000	  -0.2717	  -0.6739	   0.3804	  32.2356	  34.5156	
 -10.0000	 -31.0000	  17.5000	  -0.2174	  -0.6739	   0.3804	  29.2442	  35.2803	
  -7.5000	 -31.0000	  17.5000	  -0.1630	  -0.6739	   0.3804	  25.8475	  33.4394	
  -5.0000	 -31.0000	  17.5000	  -0.1087	  -0.6739	   0.3804	  22.3450	  30.9187	
  -2.5000	 -31.0000	  17.5000	  -0.0543	  -0.6739	   0.3804	  18.8425	  28.3981	
   0.0000	 -31.0000	  17.5000	   0.0000	  -0.6739	   0.3804	  15.6928	  25.9151	
   2.5000	 -31.0000	  17.5000	   0.0543	  -0.6739	   0.3804	  13.8956	  23.5762	
   5.0000	 -31.0000	  17.5000	   0.1087	  -0.6739	   0.3804	  12.4512	  21.2750	
   7.5000	 -31.0000	  17.5000	   0.1630	  -0.6739	   0.3804	  11.0069	  18.9737	
  10.0000	 -31.0000	  17.5000	   0.2174	  -0.6739	   0.3804	   9.7715	  16.9809	
  12.5000	 -31.0000	  17.5000	   0.2717	  -0.6739	   0.3804	   9.3375	  16.1700	
  15.0000	 -31.0000	  17.5000	   0.3261	  -0.6739	   0.3804	   9.1125	  15.6675	
  17.5000	 -31.0000	  17.5000	   0.3804	  -0.6739	   0.3804	   8.8875	  15.1650	
  20.0000	 -31.0000	  17.5000	   0.4348	  -0.6739	   0.3804	   8.6625	  14.6625	
 -20.0000	 -31.0000	  20.0000	  -0.4348	  -0.6739	   0.4348	  38.5750	  29.4350	
