Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=87mm_Tec" I=17 J=25 F=POINT
 -20.0000	  87.0000	   5.0000	  -0.4348	   1.8913	   0.1087	  12.2191	   6.1179	
 -17.5000	  87.0000	   5.0000	  -0.3804	   1.8913	   0.1087	  13.5838	   8.1600	
 -15.0000	  87.0000	   5.0000	  -0.3261	   1.8913	   0.1087	  14.9525	  10.2100	
 -12.5000	  87.0000	   5.0000	  -0.2717	   1.8913	   0.1087	  16.3212	  12.2600	
 -10.0000	  87.0000	   5.0000	  -0.2174	   1.8913	   0.1087	  17.6900	  14.3100	
  -7.5000	  87.0000	   5.0000	  -0.1630	   1.8913	   0.1087	  26.3250	  35.6300	
  -5.0000	  87.0000	   5.0000	  -0.1087	   1.8913	   0.1087	  34.9600	  56.9500	
  -2.5000	  87.0000	   5.0000	  -0.0543	   1.8913	   0.1087	  43.5950	  78.2700	
   0.0000	  87.0000	   5.0000	   0.0000	   1.8913	   0.1087	  52.2300	  99.5900	
   2.5000	  87.0000	   5.0000	   0.0543	   1.8913	   0.1087	  68.9050	  96.8025	
   5.0000	  87.0000	   5.0000	   0.1087	   1.8913	   0.1087	  85.5800	  94.0150	
   7.5000	  87.0000	   5.0000	   0.1630	   1.8913	   0.1087	 102.2550	  91.2275	
  10.0000	  87.0000	   5.0000	   0.2174	   1.8913	   0.1087	 118.9300	  88.4400	
  12.5000	  87.0000	   5.0000	   0.2717	   1.8913	   0.1087	 114.3675	  77.9625	
  15.0000	  87.0000	   5.0000	   0.3261	   1.8913	   0.1087	 109.8050	  67.4850	
  17.5000	  87.0000	   5.0000	   0.3804	   1.8913	   0.1087	 105.2425	  57.0075	
  20.0000	  87.0000	   5.0000	   0.4348	   1.8913	   0.1087	 100.6800	  46.5300	
 -20.0000	  87.0000	   7.5000	  -0.4348	   1.8913	   0.1630	  13.0859	   6.7264	
 -17.5000	  87.0000	   7.5000	  -0.3804	   1.8913	   0.1630	  14.2506	   8.4181	
 -15.0000	  87.0000	   7.5000	  -0.3261	   1.8913	   0.1630	  15.4413	  10.1213	
 -12.5000	  87.0000	   7.5000	  -0.2717	   1.8913	   0.1630	  16.6319	  11.8244	
 -10.0000	  87.0000	   7.5000	  -0.2174	   1.8913	   0.1630	  18.8958	  16.3578	
  -7.5000	  87.0000	   7.5000	  -0.1630	   1.8913	   0.1630	  24.7687	  30.4081	
  -5.0000	  87.0000	   7.5000	  -0.1087	   1.8913	   0.1630	  31.7150	  47.2888	
  -2.5000	  87.0000	   7.5000	  -0.0543	   1.8913	   0.1630	  38.6613	  64.1694	
   0.0000	  87.0000	   7.5000	   0.0000	   1.8913	   0.1630	  46.7137	  77.9965	
   2.5000	  87.0000	   7.5000	   0.0543	   1.8913	   0.1630	  59.0069	  80.1188	
   5.0000	  87.0000	   7.5000	   0.1087	   1.8913	   0.1630	  72.4063	  79.1875	
   7.5000	  87.0000	   7.5000	   0.1630	   1.8913	   0.1630	  85.8056	  78.2563	
  10.0000	  87.0000	   7.5000	   0.2174	   1.8913	   0.1630	  96.6065	  76.1732	
  12.5000	  87.0000	   7.5000	   0.2717	   1.8913	   0.1630	  97.4463	  69.6750	
  15.0000	  87.0000	   7.5000	   0.3261	   1.8913	   0.1630	  95.6875	  62.0250	
  17.5000	  87.0000	   7.5000	   0.3804	   1.8913	   0.1630	  93.9288	  54.3750	
  20.0000	  87.0000	   7.5000	   0.4348	   1.8913	   0.1630	  92.1700	  46.7250	
 -20.0000	  87.0000	  10.0000	  -0.4348	   1.8913	   0.2174	  13.9527	   7.3349	
 -17.5000	  87.0000	  10.0000	  -0.3804	   1.8913	   0.2174	  14.9175	   8.6763	
 -15.0000	  87.0000	  10.0000	  -0.3261	   1.8913	   0.2174	  15.9300	  10.0325	
 -12.5000	  87.0000	  10.0000	  -0.2717	   1.8913	   0.2174	  16.9425	  11.3887	
 -10.0000	  87.0000	  10.0000	  -0.2174	   1.8913	   0.2174	  18.9748	  15.4081	
  -7.5000	  87.0000	  10.0000	  -0.1630	   1.8913	   0.2174	  23.2125	  25.1863	
  -5.0000	  87.0000	  10.0000	  -0.1087	   1.8913	   0.2174	  28.4700	  37.6275	
  -2.5000	  87.0000	  10.0000	  -0.0543	   1.8913	   0.2174	  33.7275	  50.0687	
   0.0000	  87.0000	  10.0000	   0.0000	   1.8913	   0.2174	  40.0664	  59.9508	
   2.5000	  87.0000	  10.0000	   0.0543	   1.8913	   0.2174	  49.1088	  63.4350	
   5.0000	  87.0000	  10.0000	   0.1087	   1.8913	   0.2174	  59.2325	  64.3600	
   7.5000	  87.0000	  10.0000	   0.1630	   1.8913	   0.2174	  69.3562	  65.2850	
  10.0000	  87.0000	  10.0000	   0.2174	   1.8913	   0.2174	  77.4625	  64.9328	
