Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/B"	"y/B"	"z/B"	"C*"	"C*std"	
Zone T = "East_y=-115mm_Tec" I=17 J=25 F=POINT
 -20.0000	-115.0000	   5.0000	  -0.4348	  -2.5000	   0.1087	   8.8300	   5.0900	
 -17.5000	-115.0000	   5.0000	  -0.3804	  -2.5000	   0.1087	   9.0125	   5.5700	
 -15.0000	-115.0000	   5.0000	  -0.3261	  -2.5000	   0.1087	   9.1950	   6.0500	
 -12.5000	-115.0000	   5.0000	  -0.2717	  -2.5000	   0.1087	   9.3775	   6.5300	
 -10.0000	-115.0000	   5.0000	  -0.2174	  -2.5000	   0.1087	   9.5600	   7.0100	
  -7.5000	-115.0000	   5.0000	  -0.1630	  -2.5000	   0.1087	  12.9825	  18.6400	
  -5.0000	-115.0000	   5.0000	  -0.1087	  -2.5000	   0.1087	  16.4050	  30.2700	
  -2.5000	-115.0000	   5.0000	  -0.0543	  -2.5000	   0.1087	  19.8275	  41.9000	
   0.0000	-115.0000	   5.0000	   0.0000	  -2.5000	   0.1087	  23.2500	  53.5300	
   2.5000	-115.0000	   5.0000	   0.0543	  -2.5000	   0.1087	  35.5775	  60.0925	
   5.0000	-115.0000	   5.0000	   0.1087	  -2.5000	   0.1087	  47.9050	  66.6550	
   7.5000	-115.0000	   5.0000	   0.1630	  -2.5000	   0.1087	  60.2325	  73.2175	
  10.0000	-115.0000	   5.0000	   0.2174	  -2.5000	   0.1087	  72.5600	  79.7800	
  12.5000	-115.0000	   5.0000	   0.2717	  -2.5000	   0.1087	  71.9875	  69.4650	
  15.0000	-115.0000	   5.0000	   0.3261	  -2.5000	   0.1087	  71.4150	  59.1500	
  17.5000	-115.0000	   5.0000	   0.3804	  -2.5000	   0.1087	  70.8425	  48.8350	
  20.0000	-115.0000	   5.0000	   0.4348	  -2.5000	   0.1087	  70.2700	  38.5200	
 -20.0000	-115.0000	   7.5000	  -0.4348	  -2.5000	   0.1630	   8.9675	   5.1075	
 -17.5000	-115.0000	   7.5000	  -0.3804	  -2.5000	   0.1630	   9.1369	   5.5275	
 -15.0000	-115.0000	   7.5000	  -0.3261	  -2.5000	   0.1630	   9.3063	   5.9475	
 -12.5000	-115.0000	   7.5000	  -0.2717	  -2.5000	   0.1630	   9.4756	   6.3675	
 -10.0000	-115.0000	   7.5000	  -0.2174	  -2.5000	   0.1630	  10.0829	   8.2932	
  -7.5000	-115.0000	   7.5000	  -0.1630	  -2.5000	   0.1630	  12.3688	  15.9906	
  -5.0000	-115.0000	   7.5000	  -0.1087	  -2.5000	   0.1630	  15.0925	  25.1938	
  -2.5000	-115.0000	   7.5000	  -0.0543	  -2.5000	   0.1630	  17.8163	  34.3969	
   0.0000	-115.0000	   7.5000	   0.0000	  -2.5000	   0.1630	  21.7520	  43.0119	
   2.5000	-115.0000	   7.5000	   0.0543	  -2.5000	   0.1630	  30.3338	  49.3725	
   5.0000	-115.0000	   7.5000	   0.1087	  -2.5000	   0.1630	  40.1275	  55.1450	
   7.5000	-115.0000	   7.5000	   0.1630	  -2.5000	   0.1630	  49.9212	  60.9175	
  10.0000	-115.0000	   7.5000	   0.2174	  -2.5000	   0.1630	  58.1486	  64.4278	
  12.5000	-115.0000	   7.5000	   0.2717	  -2.5000	   0.1630	  60.3712	  59.2662	
  15.0000	-115.0000	   7.5000	   0.3261	  -2.5000	   0.1630	  61.0275	  51.8425	
  17.5000	-115.0000	   7.5000	   0.3804	  -2.5000	   0.1630	  61.6837	  44.4188	
  20.0000	-115.0000	   7.5000	   0.4348	  -2.5000	   0.1630	  62.3400	  36.9950	
 -20.0000	-115.0000	  10.0000	  -0.4348	  -2.5000	   0.2174	   9.1050	   5.1250	
 -17.5000	-115.0000	  10.0000	  -0.3804	  -2.5000	   0.2174	   9.2613	   5.4850	
 -15.0000	-115.0000	  10.0000	  -0.3261	  -2.5000	   0.2174	   9.4175	   5.8450	
 -12.5000	-115.0000	  10.0000	  -0.2717	  -2.5000	   0.2174	   9.5737	   6.2050	
 -10.0000	-115.0000	  10.0000	  -0.2174	  -2.5000	   0.2174	  10.1453	   7.9908	
  -7.5000	-115.0000	  10.0000	  -0.1630	  -2.5000	   0.2174	  11.7550	  13.3413	
  -5.0000	-115.0000	  10.0000	  -0.1087	  -2.5000	   0.2174	  13.7800	  20.1175	
  -2.5000	-115.0000	  10.0000	  -0.0543	  -2.5000	   0.2174	  15.8050	  26.8938	
   0.0000	-115.0000	  10.0000	   0.0000	  -2.5000	   0.2174	  18.9933	  33.2714	
   2.5000	-115.0000	  10.0000	   0.0543	  -2.5000	   0.2174	  25.0900	  38.6525	
   5.0000	-115.0000	  10.0000	   0.1087	  -2.5000	   0.2174	  32.3500	  43.6350	
   7.5000	-115.0000	  10.0000	   0.1630	  -2.5000	   0.2174	  39.6100	  48.6175	
  10.0000	-115.0000	  10.0000	   0.2174	  -2.5000	   0.2174	  45.6756	  51.4856	
  12.5000	-115.0000	  10.0000	   0.2717	  -2.5000	   0.2174	  48.7550	  49.0675	
  15.0000	-115.0000	  10.0000	   0.3261	  -2.5000	   0.2174	  50.6400	  44.5350	
  17.5000	-115.0000	  10.0000	   0.3804	  -2.5000	   0.2174	  52.5250	  40.0025	
  20.0000	-115.0000	  10.0000	   0.4348	  -2.5000	   0.2174	  54.4100	  35.4700	
 -20.0000	-115.0000	  12.5000	  -0.4348	  -2.5000	   0.2717	   9.2425	   5.1425	
 -17.5000	-115.0000	  12.5000	  -0.3804	  -2.5000	   0.2717	   9.3856	   5.4425	
 -15.0000	-115.0000	  12.5000	  -0.3261	  -2.5000	   0.2717	   9.5288	   5.7425	
 -12.5000	-115.0000	  12.5000	  -0.2717	  -2.5000	   0.2717	   9.6719	   6.0425	
 -10.0000	-115.0000	  12.5000	  -0.2174	  -2.5000	   0.2717	  10.0178	   7.0367	
  -7.5000	-115.0000	  12.5000	  -0.1630	  -2.5000	   0.2717	  11.1412	  10.6919	
  -5.0000	-115.0000	  12.5000	  -0.1087	  -2.5000	   0.2717	  12.4675	  15.0412	
  -2.5000	-115.0000	  12.5000	  -0.0543	  -2.5000	   0.2717	  13.7937	  19.3906	
   0.0000	-115.0000	  12.5000	   0.0000	  -2.5000	   0.2717	  15.7029	  23.7131	
   2.5000	-115.0000	  12.5000	   0.0543	  -2.5000	   0.2717	  19.8462	  27.9325	
   5.0000	-115.0000	  12.5000	   0.1087	  -2.5000	   0.2717	  24.5725	  32.1250	
   7.5000	-115.0000	  12.5000	   0.1630	  -2.5000	   0.2717	  29.2988	  36.3175	
  10.0000	-115.0000	  12.5000	   0.2174	  -2.5000	   0.2717	  33.7486	  39.5099	
  12.5000	-115.0000	  12.5000	   0.2717	  -2.5000	   0.2717	  37.1388	  38.8688	
  15.0000	-115.0000	  12.5000	   0.3261	  -2.5000	   0.2717	  40.2525	  37.2275	
  17.5000	-115.0000	  12.5000	   0.3804	  -2.5000	   0.2717	  43.3662	  35.5862	
  20.0000	-115.0000	  12.5000	   0.4348	  -2.5000	   0.2717	  46.4800	  33.9450	
 -20.0000	-115.0000	  15.0000	  -0.4348	  -2.5000	   0.3261	   9.3800	   5.1600	
 -17.5000	-115.0000	  15.0000	  -0.3804	  -2.5000	   0.3261	   9.4969	   5.4148	
 -15.0000	-115.0000	  15.0000	  -0.3261	  -2.5000	   0.3261	   9.6511	   5.6778	
 -12.5000	-115.0000	  15.0000	  -0.2717	  -2.5000	   0.3261	   9.8002	   5.9235	
 -10.0000	-115.0000	  15.0000	  -0.2174	  -2.5000	   0.3261	   9.9000	   6.1200	
  -7.5000	-115.0000	  15.0000	  -0.1630	  -2.5000	   0.3261	  10.6817	   8.4730	
  -5.0000	-115.0000	  15.0000	  -0.1087	  -2.5000	   0.3261	  11.4875	  11.0061	
  -2.5000	-115.0000	  15.0000	  -0.0543	  -2.5000	   0.3261	  12.1413	  13.0633	
   0.0000	-115.0000	  15.0000	   0.0000	  -2.5000	   0.3261	  12.4100	  13.8100	
   2.5000	-115.0000	  15.0000	   0.0543	  -2.5000	   0.3261	  15.4536	  18.8097	
   5.0000	-115.0000	  15.0000	   0.1087	  -2.5000	   0.3261	  18.4039	  22.7486	
   7.5000	-115.0000	  15.0000	   0.1630	  -2.5000	   0.3261	  20.6186	  25.7122	
  10.0000	-115.0000	  15.0000	   0.2174	  -2.5000	   0.3261	  21.1800	  27.4200	
  12.5000	-115.0000	  15.0000	   0.2717	  -2.5000	   0.3261	  27.2764	  29.9614	
  15.0000	-115.0000	  15.0000	   0.3261	  -2.5000	   0.3261	  31.7922	  31.0081	
  17.5000	-115.0000	  15.0000	   0.3804	  -2.5000	   0.3261	  35.4270	  31.5573	
  20.0000	-115.0000	  15.0000	   0.4348	  -2.5000	   0.3261	  38.5500	  32.4200	
 -20.0000	-115.0000	  17.5000	  -0.4348	  -2.5000	   0.3804	   9.3150	   5.1800	
 -17.5000	-115.0000	  17.5000	  -0.3804	  -2.5000	   0.3804	   9.5581	   5.4437	
 -15.0000	-115.0000	  17.5000	  -0.3261	  -2.5000	   0.3804	   9.8012	   5.7075	
 -12.5000	-115.0000	  17.5000	  -0.2717	  -2.5000	   0.3804	  10.0444	   5.9713	
 -10.0000	-115.0000	  17.5000	  -0.2174	  -2.5000	   0.3804	  10.3359	   6.4760	
  -7.5000	-115.0000	  17.5000	  -0.1630	  -2.5000	   0.3804	  10.8131	   7.9044	
  -5.0000	-115.0000	  17.5000	  -0.1087	  -2.5000	   0.3804	  11.3387	   9.5737	
  -2.5000	-115.0000	  17.5000	  -0.0543	  -2.5000	   0.3804	  11.8644	  11.2431	
   0.0000	-115.0000	  17.5000	   0.0000	  -2.5000	   0.3804	  12.6314	  13.1229	
   2.5000	-115.0000	  17.5000	   0.0543	  -2.5000	   0.3804	  14.3238	  15.8094	
   5.0000	-115.0000	  17.5000	   0.1087	  -2.5000	   0.3804	  16.2575	  18.7062	
   7.5000	-115.0000	  17.5000	   0.1630	  -2.5000	   0.3804	  18.1913	  21.6031	
  10.0000	-115.0000	  17.5000	   0.2174	  -2.5000	   0.3804	  20.4814	  24.2613	
  12.5000	-115.0000	  17.5000	   0.2717	  -2.5000	   0.3804	  24.1375	  26.0044	
  15.0000	-115.0000	  17.5000	   0.3261	  -2.5000	   0.3804	  28.1500	  27.5087	
  17.5000	-115.0000	  17.5000	   0.3804	  -2.5000	   0.3804	  32.1625	  29.0131	
  20.0000	-115.0000	  17.5000	   0.4348	  -2.5000	   0.3804	  36.1750	  30.5175	
 -20.0000	-115.0000	  20.0000	  -0.4348	  -2.5000	   0.4348	   9.2500	   5.2000	
 -17.5000	-115.0000	  20.0000	  -0.3804	  -2.5000	   0.4348	   9.6062	   5.4875	
 -15.0000	-115.0000	  20.0000	  -0.3261	  -2.5000	   0.4348	   9.9625	   5.7750	
 -12.5000	-115.0000	  20.0000	  -0.2717	  -2.5000	   0.4348	  10.3187	   6.0625	
 -10.0000	-115.0000	  20.0000	  -0.2174	  -2.5000	   0.4348	  10.6900	   6.6008	
  -7.5000	-115.0000	  20.0000	  -0.1630	  -2.5000	   0.4348	  11.0987	   7.7663	
  -5.0000	-115.0000	  20.0000	  -0.1087	  -2.5000	   0.4348	  11.5225	   9.1825	
  -2.5000	-115.0000	  20.0000	  -0.0543	  -2.5000	   0.4348	  11.9462	  10.5987	
   0.0000	-115.0000	  20.0000	   0.0000	  -2.5000	   0.4348	  12.6481	  12.2317	
   2.5000	-115.0000	  20.0000	   0.0543	  -2.5000	   0.4348	  14.0450	  14.4063	
   5.0000	-115.0000	  20.0000	   0.1087	  -2.5000	   0.4348	  15.7200	  16.7975	
   7.5000	-115.0000	  20.0000	   0.1630	  -2.5000	   0.4348	  17.3950	  19.1887	
  10.0000	-115.0000	  20.0000	   0.2174	  -2.5000	   0.4348	  19.5161	  21.4394	
  12.5000	-115.0000	  20.0000	   0.2717	  -2.5000	   0.4348	  22.7525	  23.3388	
  15.0000	-115.0000	  20.0000	   0.3261	  -2.5000	   0.4348	  26.4350	  25.0975	
  17.5000	-115.0000	  20.0000	   0.3804	  -2.5000	   0.4348	  30.1175	  26.8563	
  20.0000	-115.0000	  20.0000	   0.4348	  -2.5000	   0.4348	  33.8000	  28.6150	
 -20.0000	-115.0000	  22.5000	  -0.4348	  -2.5000	   0.4891	   9.1850	   5.2200	
 -17.5000	-115.0000	  22.5000	  -0.3804	  -2.5000	   0.4891	   9.6544	   5.5312	
 -15.0000	-115.0000	  22.5000	  -0.3261	  -2.5000	   0.4891	  10.1237	   5.8425	
 -12.5000	-115.0000	  22.5000	  -0.2717	  -2.5000	   0.4891	  10.5931	   6.1537	
 -10.0000	-115.0000	  22.5000	  -0.2174	  -2.5000	   0.4891	  11.0372	   6.6110	
  -7.5000	-115.0000	  22.5000	  -0.1630	  -2.5000	   0.4891	  11.3844	   7.6281	
  -5.0000	-115.0000	  22.5000	  -0.1087	  -2.5000	   0.4891	  11.7063	   8.7912	
  -2.5000	-115.0000	  22.5000	  -0.0543	  -2.5000	   0.4891	  12.0281	   9.9544	
   0.0000	-115.0000	  22.5000	   0.0000	  -2.5000	   0.4891	  12.5376	  11.2414	
   2.5000	-115.0000	  22.5000	   0.0543	  -2.5000	   0.4891	  13.7662	  13.0031	
   5.0000	-115.0000	  22.5000	   0.1087	  -2.5000	   0.4891	  15.1825	  14.8888	
