Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-115mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	-115.0000	   2.5000	  -1.7391	  -2.5000	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0009	  -0.0140	  -0.1272	  -0.9735	   0.0000	
 -77.5000	-115.0000	   2.5000	  -1.6848	  -2.5000	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0008	  -0.0144	  -0.1273	  -0.9999	   0.0000	
 -75.0000	-115.0000	   2.5000	  -1.6304	  -2.5000	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0001	  -0.0008	  -0.0149	  -0.1286	  -1.0378	   0.0000	
 -72.5000	-115.0000	   2.5000	  -1.5761	  -2.5000	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0001	  -0.0008	  -0.0156	  -0.1310	  -1.0851	   0.0000	
 -70.0000	-115.0000	   2.5000	  -1.5217	  -2.5000	   0.0543	  -0.0000	   0.0000	   0.0001	  -0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0164	  -0.1339	  -1.1381	   0.0000	
 -67.5000	-115.0000	   2.5000	  -1.4674	  -2.5000	   0.0543	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0173	  -0.1374	  -1.1984	   0.0000	
 -65.0000	-115.0000	   2.5000	  -1.4130	  -2.5000	   0.0543	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0184	  -0.1419	  -1.2711	   0.0000	
 -62.5000	-115.0000	   2.5000	  -1.3587	  -2.5000	   0.0543	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0001	  -0.0006	  -0.0197	  -0.1482	  -1.3648	   0.0000	
 -60.0000	-115.0000	   2.5000	  -1.3043	  -2.5000	   0.0543	   0.0000	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	   0.0001	  -0.0006	  -0.0216	  -0.1571	  -1.4888	   0.0000	
