Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=-85mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -80.0000	 -85.0000	   2.5000	  -1.7391	  -1.8478	   0.0543	   0.0002	   0.0000	   0.0004	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0005	  -0.0003	   0.0054	   0.0080	   0.0001	
 -77.5000	 -85.0000	   2.5000	  -1.6848	  -1.8478	   0.0543	   0.0002	   0.0000	   0.0004	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0005	  -0.0004	   0.0052	   0.0082	   0.0001	
 -75.0000	 -85.0000	   2.5000	  -1.6304	  -1.8478	   0.0543	   0.0002	   0.0000	   0.0004	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0005	  -0.0004	   0.0053	   0.0085	   0.0001	
 -72.5000	 -85.0000	   2.5000	  -1.5761	  -1.8478	   0.0543	   0.0003	   0.0000	   0.0004	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0005	  -0.0004	   0.0054	   0.0088	   0.0001	
 -70.0000	 -85.0000	   2.5000	  -1.5217	  -1.8478	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0005	  -0.0004	   0.0056	   0.0093	   0.0001	
 -67.5000	 -85.0000	   2.5000	  -1.4674	  -1.8478	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0005	  -0.0005	   0.0059	   0.0099	   0.0001	
 -65.0000	 -85.0000	   2.5000	  -1.4130	  -1.8478	   0.0543	   0.0003	  -0.0000	   0.0004	   0.0001	  -0.0000	   0.0000	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0005	  -0.0005	   0.0063	   0.0106	   0.0001	
 -62.5000	 -85.0000	   2.5000	  -1.3587	  -1.8478	   0.0543	   0.0003	  -0.0000	   0.0005	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0006	  -0.0006	   0.0067	   0.0115	   0.0001	
 -60.0000	 -85.0000	   2.5000	  -1.3043	  -1.8478	   0.0543	   0.0004	  -0.0000	   0.0005	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0006	  -0.0007	   0.0073	   0.0126	   0.0001	
 -57.5000	 -85.0000	   2.5000	  -1.2500	  -1.8478	   0.0543	   0.0004	  -0.0000	   0.0005	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0006	  -0.0008	   0.0080	   0.0139	   0.0001	
 -55.0000	 -85.0000	   2.5000	  -1.1957	  -1.8478	   0.0543	   0.0004	  -0.0000	   0.0006	   0.0001	  -0.0000	   0.0001	   0.0000	   0.0000	  -0.0000	   0.0001	  -0.0007	  -0.0009	   0.0087	   0.0153	   0.0001	
 -52.5000	 -85.0000	   2.5000	  -1.1413	  -1.8478	   0.0543	   0.0005	  -0.0000	   0.0006	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0002	  -0.0007	  -0.0011	   0.0096	   0.0170	   0.0001	
 -50.0000	 -85.0000	   2.5000	  -1.0870	  -1.8478	   0.0543	   0.0005	  -0.0000	   0.0007	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0002	  -0.0007	  -0.0012	   0.0107	   0.0192	   0.0001	
 -47.5000	 -85.0000	   2.5000	  -1.0326	  -1.8478	   0.0543	   0.0006	  -0.0000	   0.0007	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0002	  -0.0008	  -0.0015	   0.0120	   0.0220	   0.0001	
 -45.0000	 -85.0000	   2.5000	  -0.9783	  -1.8478	   0.0543	   0.0006	  -0.0000	   0.0008	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0003	  -0.0009	  -0.0018	   0.0138	   0.0257	   0.0001	
 -42.5000	 -85.0000	   2.5000	  -0.9239	  -1.8478	   0.0543	   0.0007	  -0.0000	   0.0009	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0003	  -0.0009	  -0.0022	   0.0161	   0.0306	   0.0001	
 -40.0000	 -85.0000	   2.5000	  -0.8696	  -1.8478	   0.0543	   0.0008	  -0.0001	   0.0010	   0.0001	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0004	  -0.0010	  -0.0028	   0.0193	   0.0374	   0.0002	
 -37.5000	 -85.0000	   2.5000	  -0.8152	  -1.8478	   0.0543	   0.0010	  -0.0001	   0.0012	   0.0002	  -0.0000	   0.0001	   0.0001	   0.0000	  -0.0000	   0.0005	  -0.0010	  -0.0036	   0.0235	   0.0469	   0.0002	
 -35.0000	 -85.0000	   2.5000	  -0.7609	  -1.8478	   0.0543	   0.0011	  -0.0001	   0.0013	   0.0002	  -0.0000	   0.0002	   0.0002	   0.0000	  -0.0000	   0.0007	  -0.0010	  -0.0048	   0.0292	   0.0601	   0.0002	
 -32.5000	 -85.0000	   2.5000	  -0.7065	  -1.8478	   0.0543	   0.0013	  -0.0001	   0.0016	   0.0002	  -0.0000	   0.0002	   0.0002	   0.0000	  -0.0000	   0.0009	  -0.0008	  -0.0072	   0.0406	   0.0879	   0.0003	
