Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=29mm_ImgMean_16x32x64_MovingAvg3x3" I=65 J=40 F=POINT
 -27.5000	  29.0000	   2.5000	  -0.5978	   0.6304	   0.0543	   0.0027	  -0.0015	   0.0035	   0.0004	  -0.0003	   0.0006	   0.0006	   0.0000	  -0.0000	   0.0087	  -0.0306	  -0.0353	   0.1914	   0.1787	   0.0006	
 -25.0000	  29.0000	   2.5000	  -0.5435	   0.6304	   0.0543	   0.0019	   0.0017	   0.0006	   0.0003	   0.0003	  -0.0002	  -0.0009	  -0.0000	   0.0000	  -0.0210	   0.0718	   0.0961	  -0.5026	  -0.4275	   0.0001	
 -22.5000	  29.0000	   2.5000	  -0.4891	   0.6304	   0.0543	   0.0149	  -0.0216	   0.0275	   0.0025	  -0.0036	   0.0073	   0.0108	   0.0004	  -0.0001	   0.2070	  -0.7525	  -0.9545	   5.2027	   4.5562	   0.0046	
 -20.0000	  29.0000	   2.5000	  -0.4348	   0.6304	   0.0543	   0.0635	  -0.0747	   0.0997	   0.0106	  -0.0124	   0.0222	   0.0292	   0.0013	  -0.0004	   0.4364	  -1.4609	  -1.7294	   8.6322	   7.9525	   0.0166	
 -17.5000	  29.0000	   2.5000	  -0.3804	   0.6304	   0.0543	   0.1472	  -0.1275	   0.1952	   0.0245	  -0.0213	   0.0334	   0.0322	   0.0022	  -0.0007	   0.3532	  -0.9159	  -0.9285	   3.7503	   4.2132	   0.0325	
 -15.0000	  29.0000	   2.5000	  -0.3261	   0.6304	   0.0543	   0.2553	  -0.1386	   0.2915	   0.0425	  -0.0231	   0.0431	   0.0316	   0.0028	  -0.0007	   0.3149	  -0.7667	  -0.8090	   3.4473	   4.5376	   0.0486	
 -12.5000	  29.0000	   2.5000	  -0.2717	   0.6304	   0.0543	   0.3696	  -0.1159	   0.3874	   0.0616	  -0.0193	   0.0489	   0.0290	   0.0031	  -0.0006	   0.2410	  -0.4929	  -0.6200	   3.1994	   3.7817	   0.0646	
 -10.0000	  29.0000	   2.5000	  -0.2174	   0.6304	   0.0543	   0.4230	  -0.1014	   0.4351	   0.0705	  -0.0169	   0.0534	   0.0279	   0.0035	  -0.0006	   0.2329	  -0.4686	  -0.4918	   3.0452	   3.4365	   0.0725	
  -7.5000	  29.0000	   2.5000	  -0.1630	   0.6304	   0.0543	   0.4209	  -0.0758	   0.4279	   0.0702	  -0.0126	   0.0561	   0.0257	   0.0037	  -0.0006	   0.2293	  -0.6194	  -0.5536	   3.3156	   3.4615	   0.0713	
  -5.0000	  29.0000	   2.5000	  -0.1087	   0.6304	   0.0543	   0.4234	  -0.0453	   0.4259	   0.0706	  -0.0076	   0.0567	   0.0230	   0.0036	  -0.0004	   0.1682	  -0.5730	  -0.5041	   3.0141	   4.1126	   0.0710	
  -2.5000	  29.0000	   2.5000	  -0.0543	   0.6304	   0.0543	   0.4331	  -0.0226	   0.4339	   0.0722	  -0.0038	   0.0571	   0.0207	   0.0036	  -0.0002	   0.1072	  -0.5337	  -0.3991	   3.0467	   4.4656	   0.0723	
   0.0000	  29.0000	   2.5000	   0.0000	   0.6304	   0.0543	   0.4385	  -0.0024	   0.4388	   0.0731	  -0.0004	   0.0580	   0.0198	   0.0037	  -0.0001	   0.0407	  -0.5283	  -0.3191	   3.0335	   4.8770	   0.0731	
   2.5000	  29.0000	   2.5000	   0.0543	   0.6304	   0.0543	   0.4212	   0.0075	   0.4215	   0.0702	   0.0013	   0.0570	   0.0185	   0.0035	   0.0001	  -0.0303	  -0.5461	  -0.1281	   2.8493	   5.9900	   0.0702	
   5.0000	  29.0000	   2.5000	   0.1087	   0.6304	   0.0543	   0.3924	   0.0272	   0.3938	   0.0654	   0.0045	   0.0560	   0.0183	   0.0034	   0.0001	  -0.0831	  -0.6361	   0.1400	   3.3100	   5.2382	   0.0656	
   7.5000	  29.0000	   2.5000	   0.1630	   0.6304	   0.0543	   0.3414	   0.0515	   0.3456	   0.0569	   0.0086	   0.0537	   0.0188	   0.0032	   0.0002	  -0.1380	  -0.7565	   0.3558	   3.8094	   4.7998	   0.0576	
  10.0000	  29.0000	   2.5000	   0.2174	   0.6304	   0.0543	   0.3050	   0.0591	   0.3109	   0.0508	   0.0099	   0.0509	   0.0179	   0.0028	   0.0003	  -0.2250	  -0.7085	   0.5737	   3.2479	   4.8394	   0.0518	
  12.5000	  29.0000	   2.5000	   0.2717	   0.6304	   0.0543	   0.2518	   0.0675	   0.2612	   0.0420	   0.0113	   0.0486	   0.0174	   0.0026	   0.0004	  -0.2772	  -1.0418	   0.8836	   7.7230	   5.2332	   0.0435	
  15.0000	  29.0000	   2.5000	   0.3261	   0.6304	   0.0543	   0.1829	   0.0763	   0.1986	   0.0305	   0.0127	   0.0424	   0.0172	   0.0020	   0.0003	  -0.2753	  -0.9544	   0.9731	   5.1562	   5.1272	   0.0331	
  17.5000	  29.0000	   2.5000	   0.3804	   0.6304	   0.0543	   0.1048	   0.0868	   0.1373	   0.0175	   0.0145	   0.0345	   0.0168	   0.0014	   0.0002	  -0.2335	  -1.0957	   1.0152	   5.0979	   5.3873	   0.0229	
  20.0000	  29.0000	   2.5000	   0.4348	   0.6304	   0.0543	   0.0437	   0.0575	   0.0726	   0.0073	   0.0096	   0.0245	   0.0141	   0.0008	   0.0001	  -0.1970	  -1.3941	   0.8162	   6.7988	   4.6745	   0.0121	
  22.5000	  29.0000	   2.5000	   0.4891	   0.6304	   0.0543	   0.0232	   0.0086	   0.0249	   0.0039	   0.0014	   0.0141	   0.0080	   0.0003	   0.0001	  -0.2949	  -2.1841	   1.3152	  12.4607	   8.4776	   0.0042	
  25.0000	  29.0000	   2.5000	   0.5435	   0.6304	   0.0543	   0.0011	   0.0012	   0.0019	   0.0002	   0.0002	  -0.0001	  -0.0002	   0.0000	  -0.0000	   0.0145	   0.1025	  -0.0618	  -0.5873	  -0.3828	   0.0003	
  27.5000	  29.0000	   2.5000	   0.5978	   0.6304	   0.0543	   0.0025	   0.0005	   0.0027	   0.0004	   0.0001	   0.0007	   0.0004	   0.0000	   0.0000	  -0.0087	  -0.0611	   0.0369	   0.3399	   0.2469	   0.0004	
  30.0000	  29.0000	   2.5000	   0.6522	   0.6304	   0.0543	   0.0014	   0.0003	   0.0016	   0.0002	   0.0001	   0.0003	   0.0001	   0.0000	   0.0000	  -0.0007	  -0.0068	   0.0033	   0.0365	   0.0351	   0.0003	
  32.5000	  29.0000	   2.5000	   0.7065	   0.6304	   0.0543	   0.0013	   0.0002	   0.0014	   0.0002	   0.0000	   0.0003	   0.0001	   0.0000	   0.0000	  -0.0015	  -0.0117	   0.0063	   0.0639	   0.0524	   0.0002	
  35.0000	  29.0000	   2.5000	   0.7609	   0.6304	   0.0543	   0.0010	   0.0002	   0.0011	   0.0002	   0.0000	   0.0002	   0.0001	   0.0000	   0.0000	  -0.0008	  -0.0069	   0.0034	   0.0376	   0.0328	   0.0002	
  37.5000	  29.0000	   2.5000	   0.8152	   0.6304	   0.0543	   0.0008	   0.0001	   0.0010	   0.0001	   0.0000	   0.0002	   0.0001	   0.0000	   0.0000	  -0.0006	  -0.0055	   0.0026	   0.0302	   0.0266	   0.0002	
  40.0000	  29.0000	   2.5000	   0.8696	   0.6304	   0.0543	   0.0007	   0.0001	   0.0008	   0.0001	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0005	  -0.0043	   0.0019	   0.0234	   0.0210	   0.0001	
  42.5000	  29.0000	   2.5000	   0.9239	   0.6304	   0.0543	   0.0006	   0.0001	   0.0007	   0.0001	   0.0000	   0.0001	   0.0001	   0.0000	   0.0000	  -0.0003	  -0.0034	   0.0014	   0.0189	   0.0172	   0.0001	
  45.0000	  29.0000	   2.5000	   0.9783	   0.6304	   0.0543	   0.0005	   0.0000	   0.0006	   0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0003	  -0.0028	   0.0011	   0.0157	   0.0145	   0.0001	
  47.5000	  29.0000	   2.5000	   1.0326	   0.6304	   0.0543	   0.0005	   0.0000	   0.0006	   0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0024	   0.0009	   0.0134	   0.0125	   0.0001	
  50.0000	  29.0000	   2.5000	   1.0870	   0.6304	   0.0543	   0.0004	   0.0000	   0.0005	   0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0021	   0.0007	   0.0118	   0.0111	   0.0001	
  52.5000	  29.0000	   2.5000	   1.1413	   0.6304	   0.0543	   0.0004	   0.0000	   0.0005	   0.0001	   0.0000	   0.0001	   0.0000	   0.0000	   0.0000	  -0.0002	  -0.0019	   0.0006	   0.0106	   0.0101	   0.0001	
